legacy_unicode_url,legacy_encoded_url,expected_destination,current_status,current_location,expected_status,notes
/รับซื้อ,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD,/รับซื้อสินค้าไอที,404 (production baseline before deploy),,301,hub rename; unicode_rule=true; encoded_rule=true
/บริการ/รับซื้อสินค้าไอที,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%97%E0%B8%B5,/รับซื้อสินค้าไอที,404 (production baseline before deploy),,301,old service-hub path; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-hdd,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,/บริการ/รับซื้อ-ssd,404 (production baseline before deploy),,301,legacy storage slug; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-gopro,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,/บริการ/รับซื้อ-gopro-action-camera,404 (production baseline before deploy),,301,legacy gopro slug under /รับซื้อ; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อเลนส์,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,404 (production baseline before deploy),,301,legacy lens slug under /รับซื้อ; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-storage-nas,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas,/บริการ/รับซื้อ-nas,404 (production baseline before deploy),,301,legacy nas slug under /รับซื้อ; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-hdd-กาฬสินธุ์,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,404 (production baseline before deploy),,301,legacy hdd×province → ssd×province; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-gopro-กาฬสินธุ์,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/บริการ/รับซื้อ-gopro-action-camera,404 (production baseline before deploy),,301,legacy gopro×province → service hub; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อเลนส์-กาฬสินธุ์,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,404 (production baseline before deploy),,301,legacy lens×province → service hub; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-storage-nas-กาฬสินธุ์,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/บริการ/รับซื้อ-nas,404 (production baseline before deploy),,301,legacy nas×province → service hub; unicode_rule=true; encoded_rule=true
/รับซื้อ/รับซื้อ-hdd-ขอนแก่น,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,/รับซื้อ/รับซื้อ-ssd-ขอนแก่น,404 (production baseline before deploy),,301,legacy hdd×province → ssd×province; unicode_rule=true; encoded_rule=true
