url,source_file,page_type,title_before,title_length,description_before,description_length,h1,canonical,indexable,sitemap,primary_intent,audit_flag,template_source,classification,action
"/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม","src/content/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม.md","blog-article","AirPods แบตเสื่อม ข้างหนึ่งดังเบา หรือเคสชาร์จไม่เข้า ขายได้ไหม | Amphon.co.th","78","AirPods แบตเสื่อม ข้างหนึ่งดังเบา หรือเคสชาร์จไม่เข้า ขายได้ไหม อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 0642579353","148","AirPods แบตเสื่อม ข้างหนึ่งดังเบา หรือเคสชาร์จไม่เข้า ขายได้ไหม","https://amphon.co.th/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย","src/content/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย.md","blog-article","iPhone ติด iCloud หรือลืม Apple Account (Apple ID) ก่อนขาย | Amphon.co.th","73","iPhone ที่ยังติด iCloud หรือ Activation Lock ต้องให้เจ้าของเดิมปิด Find My และนำเครื่องออกจากบัญชี Apple ก่อนขาย พร้อมแนวทางกู้คืนบัญชีอย่างถูกต้อง","147","iPhone ติด iCloud หรือลืม Apple Account (Apple ID) ก่อนขาย","https://amphon.co.th/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/macbook-ติด-apple-id-find-my-ก่อนขาย","src/content/blog/macbook-ติด-apple-id-find-my-ก่อนขาย.md","blog-article","MacBook ติด Apple ID หรือ Find My ต้องจัดการอย่างไรก่อนขาย | Amphon.co.th","73","MacBook ติด Apple ID หรือ Find My ต้องจัดการอย่างไรก่อนขาย อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 0642579353","143","MacBook ติด Apple ID หรือ Find My ต้องจัดการอย่างไรก่อนขาย","https://amphon.co.th/blog/macbook-ติด-apple-id-find-my-ก่อนขาย","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/กล้อง-fujifilm-รุ่นเก่า-ยังขายได้ไหม","src/content/blog/กล้อง-fujifilm-รุ่นเก่า-ยังขายได้ไหม.md","blog-article","กล้อง Fujifilm รุ่นเก่ายังขายได้ไหม จุดไหนทำให้ราคาไม่ตกมาก | Amphon.co.th","74","กล้อง Fujifilm รุ่นเก่ายังขายได้ไหม จุดไหนทำให้ราคาไม่ตกมาก อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 0642579353","144","กล้อง Fujifilm รุ่นเก่ายังขายได้ไหม จุดไหนทำให้ราคาไม่ตกมาก","https://amphon.co.th/blog/กล้อง-fujifilm-รุ่นเก่า-ยังขายได้ไหม","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน","src/content/blog/การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน.md","blog-article","การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน ทำไมคอมเกมมิ่งบางเครื่องถึงได้ราคาดีกว่า | Amphon.co.th","89","การ์ดจอมีผลต่อราคาคอมมือสองมาก โดยเฉพาะคอมเกมมิ่งและคอมประกอบ ดูวิธีเช็กรุ่น GPU สภาพ และข้อมูลที่ควรส่งประเมินฟรี LINE @webuy โทร 0642579353","141","การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน ทำไมคอมเกมมิ่งบางเครื่องถึงได้ราคาดีกว่า","https://amphon.co.th/blog/การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/การ์ดจอเคยขุด-ขายได้ไหม-เช็กอย่างไร","src/content/blog/การ์ดจอเคยขุด-ขายได้ไหม-เช็กอย่างไร.md","blog-article","การ์ดจอเคยขุดหรือใช้งานหนัก ขายได้ไหม เช็กอย่างไรให้โปร่งใส | Amphon.co.th","74","การ์ดจอเคยขุดหรือใช้งานหนัก ขายได้ไหม เช็กอย่างไรให้โปร่งใส อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 0642579353","144","การ์ดจอเคยขุดหรือใช้งานหนัก ขายได้ไหม เช็กอย่างไรให้โปร่งใส","https://amphon.co.th/blog/การ์ดจอเคยขุด-ขายได้ไหม-เช็กอย่างไร","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี","src/content/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี.md","blog-article","คู่มือเตรียม MacBook ก่อนขาย: เช็กสเปก สภาพ และข้อมูลให้พร้อม | Amphon.co.th","76","คู่มือเตรียม MacBook ก่อนขาย ตั้งแต่เช็กรุ่น ชิป RAM SSD Battery Cycle สภาพเครื่อง อุปกรณ์ ไปจนถึงสำรองข้อมูลและปิด Find My","123","คู่มือเตรียม MacBook ก่อนขาย: เช็กสเปก สภาพ และข้อมูลให้พร้อม","https://amphon.co.th/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา","src/content/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา.md","blog-article","ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา เทคนิคเตรียมข้อมูลก่อนประเมิน | Amphon.co.th","79","ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา เทคนิคเตรียมข้อมูลก่อนประเมิน อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 0642579353","149","ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา เทคนิคเตรียมข้อมูลก่อนประเมิน","https://amphon.co.th/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง","src/content/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง.md","blog-article","ขายสินค้าไอทีอย่างไรให้ปลอดภัย ไม่โดนโกง และไม่เสียข้อมูลส่วนตัว | Amphon.co.th","79","ขายสินค้าไอทีอย่างไรให้ปลอดภัย ไม่โดนโกง และไม่เสียข้อมูลส่วนตัว อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 0642579353","149","ขายสินค้าไอทีอย่างไรให้ปลอดภัย ไม่โดนโกง และไม่เสียข้อมูลส่วนตัว","https://amphon.co.th/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
"/blog/ขายโทรศัพท์มือสองใกล้ฉัน","src/content/blog/ขายโทรศัพท์มือสองใกล้ฉัน.md","blog-article","ขายโทรศัพท์มือสองใกล้ฉัน เลือกร้านและเตรียมเครื่องอย่างไร | Amphon.co.th","72","ขายโทรศัพท์มือสองใกล้ฉันอย่างปลอดภัย วิธีเลือกร้าน ตรวจราคา สำรองข้อมูล ออกจาก Apple Account หรือ Google Account ตรวจ IMEI และเตรียมรูปก่อนนัดขาย","145","ขายโทรศัพท์มือสองใกล้ฉัน เลือกร้านและเตรียมเครื่องอย่างไร","https://amphon.co.th/blog/ขายโทรศัพท์มือสองใกล้ฉัน","yes","yes","blog-article","title=LONG;desc=OK","frontmatter+seoTitle(Amphon.co.th)","KEEP_VALID_LONG_TITLE","KEEP"
