url,source_file,page_type,field,before,after,before_length,after_length,primary_intent,keyword_preserved,location_preserved,brand_preserved,claim_safe,reason,status
"/บริการ/รับซื้อ-ipad-mini","src/content/services/รับซื้อ-ipad-mini.md","service-page","title","รับซื้อ iPad mini มือสอง รุ่นพกพา ประเมินฟรี ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว","รับซื้อ iPad mini มือสอง รุ่นพกพา ประเมินฟรี","109","59","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อ-ipad-mini","src/content/services/รับซื้อ-ipad-mini.md","service-page","description","ร้านรับซื้อ iPad mini มือสอง ประเมินตามสภาพจริง รับซื้อ iPad mini 6, mini A17 Pro (Gen 7) ขนาดหน้าจอ 8.3 นิ้ว ประเมินราคาผ่านแชทฟรี ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว","ร้านรับซื้อ iPad mini มือสอง รวม mini 6 และ mini A17 Pro ประเมินราคาผ่านแชทได้ ราคาสุดท้ายยืนยันหลังตรวจสินค้า","181","110","commercial-service","yes","n/a","n/a","yes","trim product/payment/logistics stack; keep intent and safe payment qualifier","CHANGED"
"/บริการ/รับซื้อ-iphone-13","src/content/services/รับซื้อ-iphone-13.md","service-page","title","รับซื้อ iPhone 13 รับซื้อไอโฟน 13 Pro Max มือสอง ประเมินตามสภาพจริง | อำพล เทรดดิ้ง","รับซื้อ iPhone 13 มือสอง รวม 13 Pro และ 13 Pro Max ประเมินตามสภาพจริง","98","84","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อ-iphone-14","src/content/services/รับซื้อ-iphone-14.md","service-page","title","รับซื้อ iPhone 14 รับซื้อไอโฟน 14 Pro Max มือสอง | อำพล เทรดดิ้ง","รับซื้อ iPhone 14 มือสอง รวม 14 Pro และ 14 Pro Max","79","65","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อ-mac-mini","src/content/services/รับซื้อ-mac-mini.md","service-page","title","รับซื้อ Mac mini มือสอง M2, M4 ทุกสเปค ประเมินตามสภาพจริง ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว","รับซื้อ Mac mini มือสอง M2 และ M4 ประเมินตามสภาพจริง","122","67","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อ-mac-mini","src/content/services/รับซื้อ-mac-mini.md","service-page","description","รับซื้อ Mac mini มือสอง รับซื้อเครื่องแมค มินิ ชิป M1, M2, M2 Pro, M4, M4 Pro ประเมินราคาตามสเปค ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามพื้นที่ ประเภทสินค้า และจำนวนที่ตกลงทั่วอุบลและภาคอีสาน","รับซื้อ Mac mini มือสอง ชิป M1 ถึง M4 ประเมินตามสเปกและสภาพ ส่งข้อมูลก่อนได้ ราคาสุดท้ายยืนยันหลังตรวจสินค้า","234","108","commercial-service","yes","n/a","n/a","yes","trim product/payment/logistics stack; keep intent and safe payment qualifier","CHANGED"
"/บริการ/รับซื้อกล้อง-canon","src/content/services/รับซื้อกล้อง-canon.md","service-page","title","รับซื้อกล้อง Canon รับซื้อเลนส์ Canon มือสอง | อำพล เทรดดิ้ง","รับซื้อกล้องและเลนส์ Canon มือสอง ประเมินตามสภาพจริง","75","67","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อกล้อง-fujifilm","src/content/services/รับซื้อกล้อง-fujifilm.md","service-page","title","รับซื้อกล้อง Fujifilm มือสอง รับซื้อเลนส์ Fuji X-Series | อำพล เทรดดิ้ง","รับซื้อกล้องและเลนส์ Fujifilm X-Series มือสอง","86","60","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อกล้อง-sony","src/content/services/รับซื้อกล้อง-sony.md","service-page","title","รับซื้อกล้อง Sony รับซื้อเลนส์ Sony มือสอง Alpha ประเมินตามสภาพจริง | อำพล เทรดดิ้ง","รับซื้อกล้องและเลนส์ Sony Alpha มือสอง ประเมินตามสภาพจริง","98","72","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อกล้องฟิล์ม","src/content/services/รับซื้อกล้องฟิล์ม.md","service-page","title","รับซื้อกล้องฟิล์ม เลนส์วินเทจ รับซื้อกล้องสะสม | อำพล เทรดดิ้ง","รับซื้อกล้องฟิล์มและเลนส์วินเทจ ของสะสม","77","54","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อคอมเกมมิ่ง","src/content/services/รับซื้อคอมเกมมิ่ง.md","service-page","title","รับซื้อคอมเกมมิ่งมือสอง เช็กสเปกก่อนประเมินราคา | Amphon.co.th","รับซื้อคอมเกมมิ่งมือสอง เช็กสเปกก่อนประเมินราคา","77","62","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","src/content/services/รับซื้อเครื่องใช้ไฟฟ้า.md","service-page","title","รับซื้อเครื่องใช้ไฟฟ้ามือสอง แอร์ ตู้เย็น เครื่องซักผ้า นัดรับหรือประสานขนส่งตามพื้นที่ ประเภทสินค้า และจำนวนที่ตกลง","รับซื้อเครื่องใช้ไฟฟ้ามือสอง แอร์ ตู้เย็น เครื่องซักผ้า ประเมินก่อนนัดรับ","131","88","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
"/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","src/content/services/รับซื้อเครื่องใช้ไฟฟ้า.md","service-page","description","รับซื้อเครื่องใช้ไฟฟ้ามือสอง แอร์ ตู้เย็น เครื่องซักผ้า ไมโครเวฟ เครื่องชงกาแฟ รับซื้อของใช้ในบ้านและโรงแรมหลายประเภท มีรถไปรับถึงที่ทั่วภาคอีสาน ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว","รับซื้อเครื่องใช้ไฟฟ้ามือสอง เช่น แอร์ ตู้เย็น เครื่องซักผ้า และของใช้ในบ้าน ส่งรูปประเมินเบื้องต้น ราคาสุดท้ายยืนยันหลังตรวจสินค้า และนัดรับตามพื้นที่กับจำนวนที่ตกลง","195","166","commercial-service","yes","n/a","n/a","yes","trim product/payment/logistics stack; keep intent and safe payment qualifier","CHANGED"
"/บริการ/รับซื้อเฟอร์นิเจอร์","src/content/services/รับซื้อเฟอร์นิเจอร์.md","service-page","title","รับซื้อเฟอร์นิเจอร์มือสอง ประเมินฟรี ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว อุบลราชธานี","รับซื้อเฟอร์นิเจอร์มือสอง ประเมินฟรี อุบลราชธานี","113","63","commercial-service","yes","n/a","via_layout_suffix","yes","remove payment/product/brand boilerplate or semantic repetition; keep primary keyword front","CHANGED"
