source_url,source_file,text_before,text_after,link_destination,anchor,semantic_change,reason,status
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","","(no link)","รับซื้อ โน๊ตบุ๊ค ในกาฬสินธุ์","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-กาฬสินธุ์","รับซื้อ โน๊ตบุ๊ค ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","","(no link)","รับซื้อ MacBook ในกาฬสินธุ์","/รับซื้อ/รับซื้อ-macbook-กาฬสินธุ์","รับซื้อ MacBook ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","","(no link)","รับซื้อ คอมพิวเตอร์ ในกาฬสินธุ์","/รับซื้อ/รับซื้อคอมพิวเตอร์-กาฬสินธุ์","รับซื้อ คอมพิวเตอร์ ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","","(no link)","รับซื้อ iPhone ในกาฬสินธุ์","/รับซื้อ/รับซื้อ-iphone-กาฬสินธุ์","รับซื้อ iPhone ในกาฬสินธุ์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","","(no link)","รับซื้อ โน๊ตบุ๊ค ในขอนแก่น","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ขอนแก่น","รับซื้อ โน๊ตบุ๊ค ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","","(no link)","รับซื้อ MacBook ในขอนแก่น","/รับซื้อ/รับซื้อ-macbook-ขอนแก่น","รับซื้อ MacBook ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","","(no link)","รับซื้อ คอมพิวเตอร์ ในขอนแก่น","/รับซื้อ/รับซื้อคอมพิวเตอร์-ขอนแก่น","รับซื้อ คอมพิวเตอร์ ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","","(no link)","รับซื้อ iPhone ในขอนแก่น","/รับซื้อ/รับซื้อ-iphone-ขอนแก่น","รับซื้อ iPhone ในขอนแก่น","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","","(no link)","รับซื้อ โน๊ตบุ๊ค ในชัยภูมิ","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ","รับซื้อ โน๊ตบุ๊ค ในชัยภูมิ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","","(no link)","รับซื้อ MacBook ในชัยภูมิ","/รับซื้อ/รับซื้อ-macbook-ชัยภูมิ","รับซื้อ MacBook ในชัยภูมิ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","","(no link)","รับซื้อ คอมพิวเตอร์ ในชัยภูมิ","/รับซื้อ/รับซื้อคอมพิวเตอร์-ชัยภูมิ","รับซื้อ คอมพิวเตอร์ ในชัยภูมิ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","","(no link)","รับซื้อ iPhone ในชัยภูมิ","/รับซื้อ/รับซื้อ-iphone-ชัยภูมิ","รับซื้อ iPhone ในชัยภูมิ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-นครพนม","","(no link)","รับซื้อ โน๊ตบุ๊ค ในนครพนม","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-นครพนม","รับซื้อ โน๊ตบุ๊ค ในนครพนม","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
