url,page_type,inbound_count,thin_evidence,reason_deferred,recommended_f04_action,status
"/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง","blog-article","3","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/blog/คอมบริษัทเก่า-ขายยังไง","blog-article","1","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","blog-article","1","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง","blog-article","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที","blog-article","3","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม","blog-article","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-กาฬสินธุ์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-ขอนแก่น","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-ชัยภูมิ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-นครพนม","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-นครราชสีมา","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-บึงกาฬ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-บุรีรัมย์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-มหาสารคาม","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-มุกดาหาร","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-ยโสธร","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-ร้อยเอ็ด","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-ศรีสะเกษ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-สกลนคร","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-สุรินทร์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-หนองคาย","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-หนองบัวลำภู","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-อำนาจเจริญ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-อุดรธานี","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-อุบลราชธานี","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-server-เลย","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-ขอนแก่น","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-ชัยภูมิ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-นครพนม","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-นครราชสีมา","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-บึงกาฬ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-บุรีรัมย์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-มหาสารคาม","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-มุกดาหาร","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-ยโสธร","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-ร้อยเอ็ด","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-ศรีสะเกษ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-สกลนคร","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-สุรินทร์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-หนองคาย","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-หนองบัวลำภู","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-อำนาจเจริญ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-อุดรธานี","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-อุบลราชธานี","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อ-ups-เลย","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","service-x-location","2","content-quality-audit THIN","thin/template content — do not strengthen with Batch 11 links","rewrite-or-consolidate","DEFERRED"
