url,source_file,page_type,indexable,canonical,sitemap,inbound_links,unique_inbound_sources,outbound_links,unique_outbound_targets,click_depth,breadcrumb_links,navigation_links,footer_links,contextual_links,related_content_links,thin_content_flag,cannibalization_cluster,priority_class,status
"/about","","contact-about","yes","https://amphon.co.th/about","yes","1186","1186","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม","yes","42","42","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง","","blog-article","yes","https://amphon.co.th/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง","yes","42","42","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย","","blog-article","yes","https://amphon.co.th/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย","yes","42","42","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog","","blog-hub","yes","https://amphon.co.th/blog","yes","1186","1186","","","","yes","global","global","","","no","","KEEP_AS_IS","KEEP_AS_IS"
"/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม","yes","6","6","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ipad-ติด-icloud-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/ipad-ติด-icloud-ขายได้ไหม","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย","","blog-article","yes","https://amphon.co.th/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/mac-mini-m4-มือสอง","","blog-article","yes","https://amphon.co.th/blog/mac-mini-m4-มือสอง","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
