source_url,source_file,source_type,destination_url,destination_type,relationship,anchor_before,anchor_after_or_new,link_location,business_priority,gsc_evidence,thin_flag,cannibalization_risk,decision,reason
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","src/content/serviceAreas/รับซื้อ-airpods-กาฬสินธุ์.md","service-x-location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-กาฬสินธุ์","service-x-location","same-province-related-service","","รับซื้อ โน๊ตบุ๊ค ในกาฬสินธุ์","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","src/content/serviceAreas/รับซื้อ-airpods-กาฬสินธุ์.md","service-x-location","/รับซื้อ/รับซื้อ-macbook-กาฬสินธุ์","service-x-location","same-province-related-service","","รับซื้อ MacBook ในกาฬสินธุ์","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","src/content/serviceAreas/รับซื้อ-airpods-กาฬสินธุ์.md","service-x-location","/รับซื้อ/รับซื้อคอมพิวเตอร์-กาฬสินธุ์","service-x-location","same-province-related-service","","รับซื้อ คอมพิวเตอร์ ในกาฬสินธุ์","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-กาฬสินธุ์","src/content/serviceAreas/รับซื้อ-airpods-กาฬสินธุ์.md","service-x-location","/รับซื้อ/รับซื้อ-iphone-กาฬสินธุ์","service-x-location","same-province-related-service","","รับซื้อ iPhone ในกาฬสินธุ์","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","src/content/serviceAreas/รับซื้อ-airpods-ขอนแก่น.md","service-x-location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ขอนแก่น","service-x-location","same-province-related-service","","รับซื้อ โน๊ตบุ๊ค ในขอนแก่น","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","src/content/serviceAreas/รับซื้อ-airpods-ขอนแก่น.md","service-x-location","/รับซื้อ/รับซื้อ-macbook-ขอนแก่น","service-x-location","same-province-related-service","","รับซื้อ MacBook ในขอนแก่น","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","src/content/serviceAreas/รับซื้อ-airpods-ขอนแก่น.md","service-x-location","/รับซื้อ/รับซื้อคอมพิวเตอร์-ขอนแก่น","service-x-location","same-province-related-service","","รับซื้อ คอมพิวเตอร์ ในขอนแก่น","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ขอนแก่น","src/content/serviceAreas/รับซื้อ-airpods-ขอนแก่น.md","service-x-location","/รับซื้อ/รับซื้อ-iphone-ขอนแก่น","service-x-location","same-province-related-service","","รับซื้อ iPhone ในขอนแก่น","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","src/content/serviceAreas/รับซื้อ-airpods-ชัยภูมิ.md","service-x-location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ","service-x-location","same-province-related-service","","รับซื้อ โน๊ตบุ๊ค ในชัยภูมิ","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","src/content/serviceAreas/รับซื้อ-airpods-ชัยภูมิ.md","service-x-location","/รับซื้อ/รับซื้อ-macbook-ชัยภูมิ","service-x-location","same-province-related-service","","รับซื้อ MacBook ในชัยภูมิ","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","src/content/serviceAreas/รับซื้อ-airpods-ชัยภูมิ.md","service-x-location","/รับซื้อ/รับซื้อคอมพิวเตอร์-ชัยภูมิ","service-x-location","same-province-related-service","","รับซื้อ คอมพิวเตอร์ ในชัยภูมิ","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-ชัยภูมิ","src/content/serviceAreas/รับซื้อ-airpods-ชัยภูมิ.md","service-x-location","/รับซื้อ/รับซื้อ-iphone-ชัยภูมิ","service-x-location","same-province-related-service","","รับซื้อ iPhone ในชัยภูมิ","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-นครพนม","src/content/serviceAreas/รับซื้อ-airpods-นครพนม.md","service-x-location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-นครพนม","service-x-location","same-province-related-service","","รับซื้อ โน๊ตบุ๊ค ในนครพนม","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-นครพนม","src/content/serviceAreas/รับซื้อ-airpods-นครพนม.md","service-x-location","/รับซื้อ/รับซื้อ-macbook-นครพนม","service-x-location","same-province-related-service","","รับซื้อ MacBook ในนครพนม","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
"/รับซื้อ/รับซื้อ-airpods-นครพนม","src/content/serviceAreas/รับซื้อ-airpods-นครพนม.md","service-x-location","/รับซื้อ/รับซื้อคอมพิวเตอร์-นครพนม","service-x-location","same-province-related-service","","รับซื้อ คอมพิวเตอร์ ในนครพนม","sidebar-related-in-province","P2","none","no","low-descriptive-anchor","ADD","horizontal spoke link: related service in same province per F-06 audit recommendation"
