url,page_type,business_value,content_quality,gsc_evidence,inbound_count,click_depth,thin_flag,cannibalization_risk,priority_class,recommended_action,reason
"/about","contact-about","high","ok","none","1186","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม","blog-article","medium","ok","none","42","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง","blog-article","medium","ok","none","42","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย","blog-article","medium","ok","none","42","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog","blog-hub","low","ok","none","1186","","no","low","KEEP_AS_IS","KEEP_AS_IS","core/supporting architecture candidate"
"/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม","blog-article","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ipad-ติด-icloud-ขายได้ไหม","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/mac-mini-m4-มือสอง","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/macbook-battery-cycle-มีผลต่อราคาขายแค่ไหน","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/macbook-ติด-apple-id-find-my-ก่อนขาย","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/marshall-แบตเสื่อม-เสียงแตก-ปุ่มรวน-ขายได้ไหม","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ssd-สุขภาพเหลือน้อย-เขียนข้อมูลเยอะ-ขายได้ไหม","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/surface-เปิดไม่ติด-จอแตก-คีย์บอร์ดเสีย-ขายได้ไหม","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/กล่องใบเสร็จอุปกรณ์ครบ-มีผลต่อราคาขายไหม","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
