url,in_original_f04,in_batch11_deferred,current_route_exists,production_status,indexable,canonical,sitemap,current_classification,reason_for_difference,include_in_batch12a
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-นครพนม","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ยโสธร","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-เลย","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-เลย","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-สกลนคร","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-สกลนคร","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-สุรินทร์","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-สุรินทร์","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-หนองคาย","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-หนองคาย","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-อุดรธานี","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-อุดรธานี","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","yes","yes","yes","200-local-build","yes","https://amphon.co.th/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","yes","ACTIVE_CANDIDATE","ซ้อนทับทั้ง Audit และ Batch11","yes"
