url,primary_intent,closest_competing_url,competing_intent,title_overlap,h1_overlap,content_overlap,canonical_relationship,internal_anchor_overlap,gsc_evidence,cannibalization_risk,recommended_primary_url,decision_impact
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
