url_a,url_b,group_id,normalized_similarity,shared_word_percent,shared_sentence_percent,unique_sections_a,unique_sections_b,same_intent,same_entity,same_location,possible_duplicate,recommended_review
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-นครพนม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","/รับซื้อ/รับซื้อของสะสม-นครพนม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
