candidate_url,inbound_before_batch11,inbound_after_batch11,received_new_links,links_from_sources,outbound_links,links_to_priority_pages,decision,links_to_remove_if_merged,links_to_update_if_redirected,links_to_keep_if_improved,risk
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/กาฬสินธุ์|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","2","2","no","","27","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/ขอนแก่น|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/ชัยภูมิ|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/นครพนม|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","2","2","no","","27","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/นครราชสีมา|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/บึงกาฬ|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/บุรีรัมย์|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/มหาสารคาม|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/มุกดาหาร|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","2","2","no","","27","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/ยโสธร|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/ร้อยเอ็ด|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-เลย","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/เลย|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ","2","2","no","","27","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/ศรีสะเกษ|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-สกลนคร","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/สกลนคร|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-สุรินทร์","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/สุรินทร์|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-หนองคาย","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/หนองคาย|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/หนองบัวลำภู|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ","2","2","no","","28","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/อำนาจเจริญ|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-อุดรธานี","2","2","no","","27","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/อุดรธานี|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี","2","2","no","","27","/บริการ/รับซื้อของสะสม|/พื้นที่ให้บริการ/อุบลราชธานี|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","2","2","no","","28","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/กาฬสินธุ์|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","2","2","no","","27","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/ขอนแก่น|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","2","2","no","","28","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/ชัยภูมิ|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","2","2","no","","28","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/นครพนม|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","2","2","no","","27","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/นครราชสีมา|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","2","2","no","","28","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/บึงกาฬ|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","2","2","no","","28","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า|/พื้นที่ให้บริการ/บุรีรัมย์|/บริการ/รับซื้อโน๊ตบุ๊ค|/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ|/บริการ/รับซื้อ-gaming-pc","NO_NEW_INBOUND_FROM_B11","0","2","all-existing","low"
