group_id,group_name,page_type,template_source,url_count,example_urls,shared_sections,variable_sections,average_visible_words,median_visible_words,minimum_visible_words,maximum_visible_words,similarity_range,business_role,search_intent,risk
"G-BLOG-THIN","G-BLOG-THIN","blog-article","src/content/blog/*.md","6","/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง | /blog/คอมบริษัทเก่า-ขายยังไง | /blog/โน๊ตบุ๊คเสีย-ขายได้ไหม","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","204","202","182","257","0.34-0.47","blog-article","informational","low"
"G-SA-รับซื้อของสะสม","รับซื้อของสะสม","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์ | /รับซื้อ/รับซื้อของสะสม-ขอนแก่น | /รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","218","219","216","222","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์ | /รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น | /รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","233","234","231","237","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้อโดรน","รับซื้อโดรน","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์ | /รับซื้อ/รับซื้อโดรน-ขอนแก่น | /รับซื้อ/รับซื้อโดรน-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","228","229","226","232","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้อทีวี","รับซื้อทีวี","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์ | /รับซื้อ/รับซื้อทีวี-ขอนแก่น | /รับซื้อ/รับซื้อทีวี-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","218","219","216","222","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้อเฟอร์นิเจอร์","รับซื้อเฟอร์นิเจอร์","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อเฟอร์นิเจอร์-กาฬสินธุ์ | /รับซื้อ/รับซื้อเฟอร์นิเจอร์-ขอนแก่น | /รับซื้อ/รับซื้อเฟอร์นิเจอร์-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","233","234","231","237","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้ออุปกรณ์-network","รับซื้ออุปกรณ์-network","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้ออุปกรณ์-network-กาฬสินธุ์ | /รับซื้อ/รับซื้ออุปกรณ์-network-ขอนแก่น | /รับซื้อ/รับซื้ออุปกรณ์-network-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","228","229","226","232","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้อ-server","รับซื้อ-server","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อ-server-กาฬสินธุ์ | /รับซื้อ/รับซื้อ-server-ขอนแก่น | /รับซื้อ/รับซื้อ-server-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","223","224","221","227","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-รับซื้อ-ups","รับซื้อ-ups","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับซื้อ-ups-กาฬสินธุ์ | /รับซื้อ/รับซื้อ-ups-ขอนแก่น | /รับซื้อ/รับซื้อ-ups-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","223","224","221","227","1.00-1.00","secondary-local-landing","local-commercial","medium-doorway"
"G-SA-OTHER","รับเหมาประมูลอุปกรณ์ไอที","service-x-location","src/content/serviceAreas/*.md + ServiceAreaLayout","20","/รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-กาฬสินธุ์ | /รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ขอนแก่น | /รับซื้อ/รับเหมาประมูลอุปกรณ์ไอที-ชัยภูมิ","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","228","229","226","232","1.00-1.00","service-x-location","local-commercial","low"
"G-UTILITY","G-UTILITY","utility","page module","2","/contact | /privacy-policy","intro-template;cta-to-service;area-blurb;contact","province-name;service-label;district-list","249","293","205","293","0.12-0.12","utility","local-commercial","low"
