url,page_type,group_id,service_slug,province,visible_main_text_words,h1,indexable,sitemap,inbound_links,trust_issue,in_audit,in_batch11
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","กาฬสินธุ์","222","รับซื้อ ของสะสมและเครื่องดนตรี กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","ขอนแก่น","216","รับซื้อ ของสะสมและเครื่องดนตรี ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","ชัยภูมิ","219","รับซื้อ ของสะสมและเครื่องดนตรี ชัยภูมิ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","นครพนม","216","รับซื้อ ของสะสมและเครื่องดนตรี นครพนม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","นครราชสีมา","222","รับซื้อ ของสะสมและเครื่องดนตรี นครราชสีมา ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","บึงกาฬ","219","รับซื้อ ของสะสมและเครื่องดนตรี บึงกาฬ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","บุรีรัมย์","219","รับซื้อ ของสะสมและเครื่องดนตรี บุรีรัมย์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","มหาสารคาม","216","รับซื้อ ของสะสมและเครื่องดนตรี มหาสารคาม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","มุกดาหาร","219","รับซื้อ ของสะสมและเครื่องดนตรี มุกดาหาร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","ยโสธร","216","รับซื้อ ของสะสมและเครื่องดนตรี ยโสธร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","ร้อยเอ็ด","219","รับซื้อ ของสะสมและเครื่องดนตรี ร้อยเอ็ด ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อของสะสม-เลย","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","เลย","216","รับซื้อ ของสะสมและเครื่องดนตรี เลย ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
