url,before_status,after_expected_status,route_generated_before,route_generated_after,redirect_before,redirect_after,target,result
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-นครพนม",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/รับซื้อ/รับซื้อของสะสม-ยโสธร",200,308,yes,no,no,yes,/บริการ/รับซื้อของสะสม,PASS
"/บริการ/รับซื้อของสะสม",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-เลย",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-สกลนคร",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-สุรินทร์",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-หนองคาย",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ",200,200,yes,yes,no,no,self,PASS
"/รับซื้อ/รับซื้อของสะสม-อุดรธานี",200,200,yes,yes,no,no,self,PASS
