source_url,section,text_summary,unique_to_source,fact_verified,duplicate_on_target,duplicate_in_family,keep,merge_location_on_target,reason
/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-เลย,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-เลย,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-เลย,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-สกลนคร,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-สกลนคร,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-สกลนคร,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-สุรินทร์,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-สุรินทร์,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-สุรินทร์,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-หนองคาย,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-หนองคาย,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-หนองคาย,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
/รับซื้อ/รับซื้อของสะสม-อุดรธานี,hero_intro,Template intro with province name swap only,no,n/a,intent_covered,yes,no,,boilerplate province swap
/รับซื้อ/รับซื้อของสะสม-อุดรธานี,cta_blockquote,CTA linking to service hub,no,n/a,yes,yes,no,,CTA boilerplate
/รับซื้อ/รับซื้อของสะสม-อุดรธานี,area_paragraph,Generic Line/phone evaluation paragraph,no,n/a,yes,yes,no,,identical process text across family
