url,before_route,after_route,result
/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-เลย,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-สกลนคร,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-สุรินทร์,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-หนองคาย,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/รับซื้อ/รับซื้อของสะสม-อุดรธานี,200 indexable HTML,308/301 → /บริการ/รับซื้อของสะสม,RETIRED
/บริการ/รับซื้อของสะสม,200,200,UNCHANGED
