url,before,after,expected,result
_TOTAL_,1175,1166,1166,PASS
/บริการ/รับซื้อของสะสม,present,present,present,PASS
/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-เลย,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-สกลนคร,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-สุรินทร์,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-หนองคาย,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-อุดรธานี,present,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-ขอนแก่น,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-นครพนม,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-นครราชสีมา,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-บึงกาฬ,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-มหาสารคาม,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-มุกดาหาร,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-ยโสธร,absent,absent,absent,PASS
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,present,present,present,PASS_OUT_OF_SCOPE
