url,classification_batch12a,selected_batch12d,completed_batch12d,current_route_exists,production_status,indexable,canonical,sitemap,current_classification,include_batch12e,reason
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,IMPROVE,yes,yes,yes,200,yes,self,yes,IMPROVE,no,completed in Batch 12D
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี,IMPROVE,yes,yes,yes,200,yes,self,yes,IMPROVE,no,completed in Batch 12D
/รับซื้อ/รับซื้อโดรน-อุบลราชธานี,IMPROVE,yes,yes,yes,200,yes,self,yes,IMPROVE,no,completed in Batch 12D
/รับซื้อ/รับซื้อทีวี-อุบลราชธานี,IMPROVE,yes,yes,yes,200,yes,self,yes,IMPROVE,no,completed in Batch 12D
/รับซื้อ/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี,IMPROVE,yes,yes,yes,200,yes,self,yes,IMPROVE,no,completed in Batch 12D
/รับซื้อ/รับซื้ออุปกรณ์-network-อุบลราชธานี,IMPROVE,yes,yes,yes,200,yes,self,yes,IMPROVE,no,completed in Batch 12D
/รับซื้อ/รับซื้อ-server-อุบลราชธานี,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/รับซื้อ/รับซื้อ-ups-อุบลราชธานี,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/blog/คอมบริษัทเก่า-ขายยังไง,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที,IMPROVE,no,no,yes,200,yes,self,yes,IMPROVE,yes,remaining IMPROVE after 12D
