decision_group_id,owner_answer,resulting_classification,target_url,content_action,redirect_action,sitemap_action,internal_link_action,risk,implementation_batch
BD-01,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,large-item-fulfilment;fake-local-service,12H
BD-01,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,large-item-fulfilment;fake-local-service,12I
BD-01,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,large-item-fulfilment;fake-local-service,12H
BD-01,D,NO_SERVICE/REDIRECT,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,large-item-fulfilment;fake-local-service,12G
BD-01,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,large-item-fulfilment;fake-local-service,HOLD
BD-02,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,fake-local-service;long-tail-unknown,12H
BD-02,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับซื้อทีวี,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,fake-local-service;long-tail-unknown,12I
BD-02,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,fake-local-service;long-tail-unknown,12H
BD-02,D,NO_SERVICE/REDIRECT,/บริการ/รับซื้อทีวี,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,fake-local-service;long-tail-unknown,12G
BD-02,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,fake-local-service;long-tail-unknown,HOLD
BD-03,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,condition-ambiguity;long-tail-unknown,12H
BD-03,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับซื้อโดรน,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,condition-ambiguity;long-tail-unknown,12I
BD-03,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,condition-ambiguity;long-tail-unknown,12H
BD-03,D,NO_SERVICE/REDIRECT,/บริการ/รับซื้อโดรน,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,condition-ambiguity;long-tail-unknown,12G
BD-03,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,condition-ambiguity;long-tail-unknown,HOLD
BD-04,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,b2b-ambiguity;long-tail-unknown,12H
BD-04,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับซื้ออุปกรณ์-network,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,b2b-ambiguity;long-tail-unknown,12I
BD-04,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,b2b-ambiguity;long-tail-unknown,12H
BD-04,D,NO_SERVICE/REDIRECT,/บริการ/รับซื้ออุปกรณ์-network,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,b2b-ambiguity;long-tail-unknown,12G
BD-04,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,b2b-ambiguity;long-tail-unknown,HOLD
BD-05,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,b2b-ambiguity;large-item-fulfilment;data-wipe,12H
BD-05,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับซื้อ-server,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,b2b-ambiguity;large-item-fulfilment;data-wipe,12I
BD-05,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,b2b-ambiguity;large-item-fulfilment;data-wipe,12H
BD-05,D,NO_SERVICE/REDIRECT,/บริการ/รับซื้อ-server,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,b2b-ambiguity;large-item-fulfilment;data-wipe,12G
BD-05,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,b2b-ambiguity;large-item-fulfilment;data-wipe,HOLD
BD-06,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,battery-condition;large-item-fulfilment,12H
BD-06,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับซื้อ-ups,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,battery-condition;large-item-fulfilment,12I
BD-06,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,battery-condition;large-item-fulfilment,12H
BD-06,D,NO_SERVICE/REDIRECT,/บริการ/รับซื้อ-ups,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,battery-condition;large-item-fulfilment,12G
BD-06,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,battery-condition;large-item-fulfilment,HOLD
BD-07,A,YES_KEEP_SEPARATE/IMPROVE,self,improve_unique_value,none,keep,retain,auction-bulk-ambiguity;ownership-docs;fake-local-service,12H
BD-07,B,YES_MERGE_TO_HUB/MERGE,/บริการ/รับเหมาประมูลอุปกรณ์ไอที,merge_content_if_any,add_301/308_to_hub,remove_sources,retarget_to_hub,auction-bulk-ambiguity;ownership-docs;fake-local-service,12I
BD-07,C,YES_WITH_LIMITATIONS/IMPROVE,self,document_limits,none,keep,retain,auction-bulk-ambiguity;ownership-docs;fake-local-service,12H
BD-07,D,NO_SERVICE/REDIRECT,/บริการ/รับเหมาประมูลอุปกรณ์ไอที,remove_or_retire,add_301/308_to_hub,remove_sources,retarget_to_hub,auction-bulk-ambiguity;ownership-docs;fake-local-service,12G
BD-07,E,UNCERTAIN/KEEP_MONITOR,self,none_until_gsc_or_owner,none,keep,retain,auction-bulk-ambiguity;ownership-docs;fake-local-service,HOLD
