url,source_file,section,before,after,content_source,province_evidence,business_rule,fact_verified,unique_value_type,template_reduction,claim_safe,intent_preserved,reason,result
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื",pattern_A_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองกาฬสินธุ์|กมลาไสย|กุฉินารายณ์,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื่อ",pattern_B_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองขอนแก่น|พระยืน|ชุมแพ,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ชัยภูมิ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื่อ",pattern_C_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองชัยภูมิ|คอนสวรรค์|หนองบัวแดง,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง นครพนม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื่อง",pattern_A_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองนครพนม|ท่าอุเทน|ธาตุพนม,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง นครราชสีมา ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเคร",pattern_B_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองนครราชสีมา|เสิงสาง|บ้านเหลื่อม,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง บึงกาฬ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื่อง",pattern_C_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองบึงกาฬ|โซ่พิสัย|ปากคาด,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง บุรีรัมย์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื",pattern_A_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองบุรีรัมย์|กระสัง|หนองกี่,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง มหาสารคาม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื",pattern_B_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองมหาสารคาม|โกสุมพิสัย|เชียงยืน,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง มุกดาหาร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื่",pattern_C_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองมุกดาหาร|ดอนตาล|คำชะอี,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร.md,body+faqs,"--- title: ""รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ยโสธร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง"" slug: ""รับซื้อเครื่องใ",pattern_A_unique_sections+owner_limits,owner BD-01; hub process; province-districts.json,เมืองยโสธร|กุดชุม|ป่าติ้ว,KEEP_EXISTING_URLS_AND_IMPROVE,yes,district_notify;handoff_limits;photo_checklist;faq_variant,yes,yes,yes,batch_12g1_bd01,IMPROVED
