URL,Page type,Primary intent,Primary keyword,Secondary keywords,Owner status,Relationship to Hub,Metadata changed,Notes
https://amphon.co.th/บริการ/รับซื้อ-macbook,Hub,Transactional national,รับซื้อ MacBook,รับซื้อ MacBook มือสอง | ขาย MacBook | ประเมินราคา MacBook,Primary owner,Self,Yes,Broad transactional intent strengthened
https://amphon.co.th/บริการ/รับซื้อ-macbook-air,Series,Transactional modifier,รับซื้อ MacBook Air,ขาย MacBook Air | MacBook Air 13 นิ้ว | MacBook Air 15 นิ้ว,Primary owner for Air,Child links to Hub,No,Existing metadata already modifier-specific
https://amphon.co.th/บริการ/รับซื้อ-macbook-pro,Series,Transactional modifier,รับซื้อ MacBook Pro,ขาย MacBook Pro | MacBook Pro 13 14 16 นิ้ว,Primary owner for Pro,Child links to Hub,No,Existing metadata already modifier-specific
https://amphon.co.th/บริการ/รับซื้อ-macbook-intel,Chip,Transactional modifier,รับซื้อ MacBook Intel,ขาย MacBook Intel | MacBook ปี 2018-2020,Primary owner for Intel,Child links to Hub and M1/M2,No,Added modifier-specific cross-links only
https://amphon.co.th/บริการ/รับซื้อ-macbook-m1,Chip,Transactional modifier,รับซื้อ MacBook M1,MacBook Air M1 | MacBook Pro M1,Primary owner for M1,Child links to Hub Air Pro M2,No,Added modifier-specific cross-links only
https://amphon.co.th/บริการ/รับซื้อ-macbook-m2,Chip,Transactional modifier,รับซื้อ MacBook M2,MacBook Air M2 | MacBook Pro M2,Primary owner for M2,Child links to Hub Air Pro M1 M3/M4,No,Added modifier-specific cross-links only
https://amphon.co.th/บริการ/รับซื้อ-macbook-m3-m4,Chip,Transactional modifier,รับซื้อ MacBook M3 M4,MacBook Air M3 M4 | MacBook Pro M3 M4,Primary owner for M3/M4,Child links to Hub Air Pro M2,No,Added modifier-specific cross-links only
https://amphon.co.th/บริการ/รับซื้อ-macbook-เสีย,Condition,Transactional condition,รับซื้อ MacBook เสีย,เปิดไม่ติด | โดนน้ำ | บอร์ดเสีย,Primary owner for broken units,Child links to Hub and screen-damage page,No,Added condition-specific cross-link
https://amphon.co.th/บริการ/รับซื้อ-macbook-จอแตก,Condition,Transactional condition,รับซื้อ MacBook จอแตก,จอเป็นเส้น | จอดำ | จอลอก,Primary owner for screen damage,Child links to Hub and broken-unit page,No,Added condition-specific cross-link
https://amphon.co.th/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี,Blog,Informational preparation,เตรียม MacBook ก่อนขาย,เช็กรุ่น | ชิป | RAM SSD | Battery Cycle | Find My,Primary owner for seller preparation,One CTA to Hub,Yes,Repositioned away from broad transactional ownership
https://amphon.co.th/blog/ราคา-macbook-มือสอง-2026,Blog,Informational price research,ราคา MacBook มือสอง 2026,ปัจจัยราคา | Air M1 M2 M3 | Pro,Primary owner for price research,Contextual link to Hub,No,Anchor varied to price-check context
https://amphon.co.th/blog/macbook-battery-cycle-มีผลต่อราคาขายแค่ไหน,Blog,Informational battery,Battery Cycle MacBook,Cycle Count | Battery Health | ราคาขาย,Primary owner for battery topic,Contextual links to Hub,No,Anchors varied to valuation context
https://amphon.co.th/blog/macbook-ติด-apple-id-find-my-ก่อนขาย,Blog,Informational account lock,MacBook ติด Apple ID ขายได้ไหม,Find My | Activation Lock | MDM,Primary owner for account-lock topic,Contextual links to Hub,No,Anchors varied to handoff conditions
https://amphon.co.th/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย,Blog,Informational data preparation,วิธีล้างเครื่อง MacBook ก่อนขาย,สำรองข้อมูล | ปิด Find My | Erase,Primary owner for wipe process,Contextual links to Hub,No,Anchors varied to photo-assessment process
