"wave","province","url","level","gsc_signal","differentiation_focus","qa_status"
"Wave 3","ชัยภูมิ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ชัยภูมิ","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","นครพนม","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-นครพนม","Province","1 impression / 0 clicks / position 5","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","นครราชสีมา","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-นครราชสีมา","Province","1 impression / 0 clicks / position 11","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","บึงกาฬ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-บึงกาฬ","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","มหาสารคาม","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-มหาสารคาม","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","มุกดาหาร","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-มุกดาหาร","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","ยโสธร","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ยโสธร","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","ร้อยเอ็ด","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ร้อยเอ็ด","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","เลย","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-เลย","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","ศรีสะเกษ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ศรีสะเกษ","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","สกลนคร","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-สกลนคร","Province","1 impression / 0 clicks / position 10","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","หนองคาย","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-หนองคาย","Province","1 impression / 0 clicks / position 10","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","หนองบัวลำภู","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-หนองบัวลำภู","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 3","อำนาจเจริญ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-อำนาจเจริญ","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
"Wave 2","อุดรธานี","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-อุดรธานี","Province","No page-level GSC row in supplied export","Province-specific districts, transport context, device-condition focus, packing advice, supporting service and FAQs","PASS"
