"province","url","parent_macbook_links","supporting_links","area_breadcrumb","missing_links_added_by_batch","result"
"กาฬสินธุ์","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-กาฬสินธุ์","4","/บริการ/รับซื้อ-macbook-intel | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/กาฬสินธุ์","0","PASS"
"ขอนแก่น","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ขอนแก่น","4","/บริการ/รับซื้อ-macbook-air | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/ขอนแก่น","0","PASS"
"ชัยภูมิ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ชัยภูมิ","4","/บริการ/รับซื้อ-macbook-จอแตก | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/ชัยภูมิ","0","PASS"
"นครพนม","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-นครพนม","4","/บริการ/รับซื้อ-macbook-air | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/นครพนม","0","PASS"
"นครราชสีมา","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-นครราชสีมา","4","/บริการ/รับซื้อ-macbook-pro | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/นครราชสีมา","0","PASS"
"บึงกาฬ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-บึงกาฬ","4","/บริการ/รับซื้อ-macbook-เสีย | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/บึงกาฬ","0","PASS"
"บุรีรัมย์","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-บุรีรัมย์","4","/บริการ/รับซื้อ-macbook-จอแตก | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/บุรีรัมย์","0","PASS"
"มหาสารคาม","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-มหาสารคาม","4","/บริการ/รับซื้อ-macbook-air | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/มหาสารคาม","0","PASS"
"มุกดาหาร","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-มุกดาหาร","4","/บริการ/รับซื้อ-macbook-pro | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/มุกดาหาร","0","PASS"
"ยโสธร","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ยโสธร","4","/บริการ/รับซื้อ-macbook-intel | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/ยโสธร","0","PASS"
"ร้อยเอ็ด","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ร้อยเอ็ด","4","/บริการ/รับซื้อ-macbook-m2 | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/ร้อยเอ็ด","0","PASS"
"เลย","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-เลย","4","/บริการ/รับซื้อ-macbook-intel | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/เลย","0","PASS"
"ศรีสะเกษ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-ศรีสะเกษ","4","/บริการ/รับซื้อ-macbook-m3-m4 | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/ศรีสะเกษ","0","PASS"
"สกลนคร","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-สกลนคร","4","/บริการ/รับซื้อ-macbook-m2 | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/สกลนคร","0","PASS"
"สุรินทร์","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-สุรินทร์","4","/บริการ/รับซื้อ-macbook-m1 | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/สุรินทร์","0","PASS"
"หนองคาย","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-หนองคาย","4","/บริการ/รับซื้อ-macbook-เสีย | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/หนองคาย","0","PASS"
"หนองบัวลำภู","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-หนองบัวลำภู","4","/บริการ/รับซื้อ-macbook-intel | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/หนองบัวลำภู","0","PASS"
"อำนาจเจริญ","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-อำนาจเจริญ","5","/บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/อำนาจเจริญ","0","PASS"
"อุดรธานี","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-อุดรธานี","4","/บริการ/รับซื้อ-macbook-เสีย | /บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/อุดรธานี","0","PASS"
"อุบลราชธานี","https://amphon.co.th/รับซื้อ/รับซื้อ-macbook-อุบลราชธานี","5","/บริการ/รับซื้อ-macbook","/พื้นที่ให้บริการ/อุบลราชธานี","0","PASS"
