File,Type,Reason
src/pages/index.astro,Source,"Controlled Meta, six service hubs, six province hubs, four-step process, aligned schema items, and removal of homepage link dump"
docs/batch-4-homepage-controlled-optimization/batch-4-homepage-baseline.md,Report,"Rendered/source baseline"
docs/batch-4-homepage-controlled-optimization/batch-4-homepage-gsc-query-audit.csv,Report,"GSC query audit"
docs/batch-4-homepage-controlled-optimization/batch-4-homepage-query-ownership.csv,Report,"Page-query ownership"
docs/batch-4-homepage-controlled-optimization/batch-4-title-decision.md,Report,"Preserve-first Title/H1 decision"
docs/batch-4-homepage-controlled-optimization/batch-4-meta-before-after.csv,Report,"Metadata comparison"
docs/batch-4-homepage-controlled-optimization/batch-4-internal-links-before-after.csv,Report,"Internal-link counts"
docs/batch-4-homepage-controlled-optimization/batch-4-anchor-audit.csv,Report,"Anchor and destination audit"
docs/batch-4-homepage-controlled-optimization/batch-4-files-changed.csv,Report,"Scope manifest"
docs/batch-4-homepage-controlled-optimization/batch-4-qa-report.md,Report,"Command and browser evidence"
docs/batch-4-homepage-controlled-optimization/batch-4-final-report.md,Report,"Executive handoff"
docs/batch-4-homepage-controlled-optimization/screenshots/homepage-mobile-390x844.png,Screenshot,"Mobile hero and primary CTA"
docs/batch-4-homepage-controlled-optimization/screenshots/homepage-mobile-services.png,Screenshot,"Mobile service cards"
docs/batch-4-homepage-controlled-optimization/screenshots/homepage-mobile-provinces.png,Screenshot,"Mobile province cards"
docs/batch-4-homepage-controlled-optimization/screenshots/homepage-desktop-1440x900.png,Screenshot,"Desktop hero and navigation"
docs/batch-4-homepage-controlled-optimization/screenshots/homepage-desktop-services.png,Screenshot,"Desktop service/B2B transition"
docs/batch-4-homepage-controlled-optimization/screenshots/homepage-desktop-provinces.png,Screenshot,"Desktop province grid"
