Query,Clicks,Impressions,CTR,Position,Classification,Intended URL,Risk
"อําพล เทรดดิ้ง",3,71,4.23%,1.30,Brand query,/,Low
"อำพล เทรดดิ้ง",0,66,0.00%,1.70,Brand query,/,Low
"amphon",0,52,0.00%,7.94,Brand query,/,Medium CTR opportunity
"รับซื้อ ram",7,134,5.22%,2.83,Service-page query,/บริการ/รับซื้อแรม,Probable on-page overlap
"รับซื้อแรม",10,62,16.13%,6.37,Service-page query,/บริการ/รับซื้อแรม,Probable on-page overlap
"รับซื้อแรมมือสอง",0,15,0.00%,9.40,Service-page query,/บริการ/รับซื้อแรม,High-impression CTR opportunity
"ร้านรับซื้อโน๊ตบุ๊ค ใกล้ฉัน",3,59,5.08%,2.83,Service-page query,/บริการ/รับซื้อโน๊ตบุ๊ค,Probable on-page overlap
"รับซื้อโน๊ตบุ๊ค ใกล้ฉัน",0,14,0.00%,6.21,Service-page query,/บริการ/รับซื้อโน๊ตบุ๊ค,High-impression CTR opportunity
"รับซื้อโน๊ตบุ๊ค ขอนแก่น",0,13,0.00%,7.62,Location-page query,/พื้นที่ให้บริการ/ขอนแก่น,Possible landing-page mismatch
"รับซื้อโน๊ตบุ๊ค อุบล",1,8,12.50%,2.75,Location-page query,/พื้นที่ให้บริการ/อุบลราชธานี,Possible landing-page mismatch
"ร้านรับจํานําโทรศัพท์ ใกล้ฉัน",5,58,8.62%,3.47,Insufficient evidence,/บริการ/รับซื้อโทรศัพท์มือสอง,Intent mismatch: pawn versus sale
"ร้านรับซื้อโทรศัพท์ใกล้ฉัน",0,27,0.00%,9.15,Service-page query,/บริการ/รับซื้อโทรศัพท์มือสอง,High-impression CTR opportunity
"รับซื้อโทรศัพท์ ใกล้ฉัน",0,13,0.00%,11.38,Service-page query,/บริการ/รับซื้อโทรศัพท์มือสอง,Service page needs ownership
"รับซื้อ iphone",0,55,0.00%,53.16,Service-page query,/บริการ/รับซื้อ-iphone,Homepage should not own
"รับซื้อไอโฟน",0,44,0.00%,51.52,Service-page query,/บริการ/รับซื้อ-iphone,Homepage should not own
"รับซื้อ ipad",1,42,2.38%,31.93,Service-page query,/บริการ/รับซื้อ-ipad,Homepage should not own
"รับซื้อไอแพด",0,34,0.00%,47.97,Service-page query,/บริการ/รับซื้อ-ipad,Homepage should not own
"ดูรุ่นไอแพดยังไง",0,21,0.00%,10.67,Informational query,/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน,Homepage should not own
"รับซื้อ macbook มือสอง",0,44,0.00%,45.59,Service-page query,/บริการ/รับซื้อ-macbook,Homepage should not own
"รับซื้อ macbook",0,42,0.00%,48.79,Service-page query,/บริการ/รับซื้อ-macbook,Homepage should not own
"รับซื้อmacbook",0,33,0.00%,46.73,Service-page query,/บริการ/รับซื้อ-macbook,Homepage should not own
"รับซื้อกล้อง sony",0,13,0.00%,6.77,Service-page query,/บริการ/รับซื้อกล้อง-sony,Homepage should route to camera hub
"รับซื้อกล้องเสีย",0,5,0.00%,11.60,Service-page query,/บริการ/รับซื้อกล้องเสีย,Homepage should not own
"ร้านรับซื้อคอมพิวเตอร์ ใกล้ฉัน",2,21,9.52%,4.95,Service-page query,/บริการ/รับซื้อคอมพิวเตอร์,Probable on-page overlap
"รับซื้อคอมพิวเตอร์",1,19,5.26%,40.63,Service-page query,/บริการ/รับซื้อคอมพิวเตอร์,Homepage should not own
"รับซื้อคอมขอนแก่น",2,15,13.33%,8.40,Location-page query,/พื้นที่ให้บริการ/ขอนแก่น,Possible landing-page mismatch
"ร้าน รับซื้อโทรศัพท์ เสีย อำเภอ เมือง อุดรธานี อุดรธานี",1,8,12.50%,7.50,Location-page query,/พื้นที่ให้บริการ/อุดรธานี,Possible landing-page mismatch
