"url","source_file","component","current_asset","candidate_asset","current_bytes","candidate_bytes","saving_bytes","saving_percent","width","height","aspect_ratio","alt","loading","fetchpriority","image_role","candidate_verified","action","status"
"/บริการ/รับซื้อ-ssd","src/content/services/รับซื้อ-ssd.md","markdown/frontmatter","/images/services/rub-sue-ssd-hdd-amphon.png","/images/services/rub-sue-ssd-hdd-amphon.webp","919304","153826","765478","83.3","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อของไอทีเสีย","src/content/services/รับซื้อของไอทีเสีย.md","markdown/frontmatter","/images/services/rub-sue-e-waste-broken-it-amphon.png","/images/services/rub-sue-e-waste-broken-it-amphon.webp","910304","165152","745152","81.9","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับเหมาประมูลอุปกรณ์ไอที","src/content/services/รับเหมาประมูลอุปกรณ์ไอที.md","markdown/frontmatter","/images/services/rub-sue-it-auction-bidding-amphon.png","/images/services/rub-sue-it-auction-bidding-amphon.webp","903025","164054","738971","81.8","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อเมนบอร์ด","src/content/services/รับซื้อเมนบอร์ด.md","markdown/frontmatter","/images/services/rub-sue-mainboard-motherboard-amphon.png","/images/services/rub-sue-mainboard-motherboard-amphon.webp","826429","128070","698359","84.5","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"(draft:รับซื้อสินค้าไอที)","src/content/services/รับซื้อสินค้าไอที.md","markdown/frontmatter","/images/services/rub-sue-it-gadget-accessories-amphon.png","/images/services/rub-sue-it-gadget-accessories-amphon.webp","795276","123506","671770","84.5","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","DRAFT_SOURCE_UPDATED"
"/บริการ/รับซื้ออุปกรณ์ไอที","src/content/services/รับซื้ออุปกรณ์ไอที.md","markdown/frontmatter","/images/services/rub-sue-it-gadget-accessories-amphon.png","/images/services/rub-sue-it-gadget-accessories-amphon.webp","795276","123506","671770","84.5","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อเฟอร์นิเจอร์","src/content/services/รับซื้อเฟอร์นิเจอร์.md","markdown/frontmatter","/images/services/rub-sue-furniture-amphon.png","/images/services/rub-sue-furniture-amphon.webp","795014","96612","698402","87.8","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อของสะสม","src/content/services/รับซื้อของสะสม.md","markdown/frontmatter","/images/services/rub-sue-collectibles-amphon.png","/images/services/rub-sue-collectibles-amphon.webp","785881","103418","682463","86.8","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อทีวี","src/content/services/รับซื้อทีวี.md","markdown/frontmatter","/images/services/rub-sue-tivi-amphon.png","/images/services/rub-sue-tivi-amphon.webp","777454","106474","670980","86.3","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อ-jbl","src/content/services/รับซื้อ-jbl.md","markdown/frontmatter","/images/services/rub-sue-bluetooth-speaker-amphon.png","/images/services/rub-sue-bluetooth-speaker-amphon.webp","697984","96998","600986","86.1","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อ-marshall","src/content/services/รับซื้อ-marshall.md","markdown/frontmatter","/images/services/rub-sue-bluetooth-speaker-amphon.png","/images/services/rub-sue-bluetooth-speaker-amphon.webp","697984","96998","600986","86.1","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อลำโพงบลูทูธ","src/content/services/รับซื้อลำโพงบลูทูธ.md","markdown/frontmatter","/images/services/rub-sue-bluetooth-speaker-amphon.png","/images/services/rub-sue-bluetooth-speaker-amphon.webp","697984","96998","600986","86.1","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อซีพียู","src/content/services/รับซื้อซีพียู.md","markdown/frontmatter","/images/services/rub-sue-cpu-intel-amd-amphon.png","/images/services/rub-sue-cpu-intel-amd-amphon.webp","690521","81808","608713","88.2","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อแรม","src/content/services/รับซื้อแรม.md","markdown/frontmatter","/images/services/rub-sue-ram-ddr4-ddr5-amphon.png","/images/services/rub-sue-ram-ddr4-ddr5-amphon.webp","684586","65130","619456","90.5","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อโน๊ตบุ๊คเกมมิ่ง","src/content/services/รับซื้อโน๊ตบุ๊คเกมมิ่ง.md","markdown/frontmatter","/images/services/rub-sue-gaming-notebook-amphon.png","/images/services/rub-sue-gaming-notebook-amphon.webp","684208","76952","607256","88.8","1024","1024","1:1","preserved","lazy","","content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อจอเกมมิ่ง","src/content/services/รับซื้อจอเกมมิ่ง.md","markdown/frontmatter","/images/services/rub-sue-gaming-monitor-amphon.png","/images/services/rub-sue-gaming-monitor-amphon.webp","657567","57980","599587","91.2","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อโดรน","src/content/services/รับซื้อโดรน.md","markdown/frontmatter","/images/services/rub-sue-drone-dji-amphon.png","/images/services/rub-sue-drone-dji-amphon.webp","655930","72532","583398","88.9","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","src/content/services/รับซื้อเครื่องใช้ไฟฟ้า.md","markdown/frontmatter","/images/services/rub-sue-appliance-amphon.png","/images/services/rub-sue-appliance-amphon.webp","655369","72184","583185","89","1024","1024","1:1","preserved","eager","high","hero+content","yes","generate_webp_and_swap_refs","FIXED"
"/บริการ/รับซื้อหูฟัง","src/content/services/รับซื้อหูฟัง.md","markdown/frontmatter","/images/services/rub-sue-headphone-earbud-amphon.png","/images/services/rub-sue-headphone-earbud-amphon.webp","628378","60994","567384","90.3","1024","1024","1:1","preserved","lazy","","content","yes","generate_webp_and_swap_refs","FIXED"
