"url","source_file","image_role","before_asset","after_asset","before_bytes","after_bytes","saving_bytes","saving_percent","before_dimensions","after_dimensions","aspect_ratio_match","alt_preserved","loading_preserved","fetchpriority_preserved","visual_verified","status"
"/บริการ/รับซื้อ-ssd","src/content/services/รับซื้อ-ssd.md","hero+content","/images/services/rub-sue-ssd-hdd-amphon.png","/images/services/rub-sue-ssd-hdd-amphon.webp","919304","153826","765478","83.3","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อของไอทีเสีย","src/content/services/รับซื้อของไอทีเสีย.md","hero+content","/images/services/rub-sue-e-waste-broken-it-amphon.png","/images/services/rub-sue-e-waste-broken-it-amphon.webp","910304","165152","745152","81.9","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับเหมาประมูลอุปกรณ์ไอที","src/content/services/รับเหมาประมูลอุปกรณ์ไอที.md","hero+content","/images/services/rub-sue-it-auction-bidding-amphon.png","/images/services/rub-sue-it-auction-bidding-amphon.webp","903025","164054","738971","81.8","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อเมนบอร์ด","src/content/services/รับซื้อเมนบอร์ด.md","hero+content","/images/services/rub-sue-mainboard-motherboard-amphon.png","/images/services/rub-sue-mainboard-motherboard-amphon.webp","826429","128070","698359","84.5","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"(draft:รับซื้อสินค้าไอที)","src/content/services/รับซื้อสินค้าไอที.md","hero+content","/images/services/rub-sue-it-gadget-accessories-amphon.png","/images/services/rub-sue-it-gadget-accessories-amphon.webp","795276","123506","671770","84.5","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้ออุปกรณ์ไอที","src/content/services/รับซื้ออุปกรณ์ไอที.md","hero+content","/images/services/rub-sue-it-gadget-accessories-amphon.png","/images/services/rub-sue-it-gadget-accessories-amphon.webp","795276","123506","671770","84.5","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อเฟอร์นิเจอร์","src/content/services/รับซื้อเฟอร์นิเจอร์.md","hero+content","/images/services/rub-sue-furniture-amphon.png","/images/services/rub-sue-furniture-amphon.webp","795014","96612","698402","87.8","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อของสะสม","src/content/services/รับซื้อของสะสม.md","hero+content","/images/services/rub-sue-collectibles-amphon.png","/images/services/rub-sue-collectibles-amphon.webp","785881","103418","682463","86.8","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อทีวี","src/content/services/รับซื้อทีวี.md","hero+content","/images/services/rub-sue-tivi-amphon.png","/images/services/rub-sue-tivi-amphon.webp","777454","106474","670980","86.3","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อ-jbl","src/content/services/รับซื้อ-jbl.md","hero+content","/images/services/rub-sue-bluetooth-speaker-amphon.png","/images/services/rub-sue-bluetooth-speaker-amphon.webp","697984","96998","600986","86.1","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อ-marshall","src/content/services/รับซื้อ-marshall.md","hero+content","/images/services/rub-sue-bluetooth-speaker-amphon.png","/images/services/rub-sue-bluetooth-speaker-amphon.webp","697984","96998","600986","86.1","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อลำโพงบลูทูธ","src/content/services/รับซื้อลำโพงบลูทูธ.md","hero+content","/images/services/rub-sue-bluetooth-speaker-amphon.png","/images/services/rub-sue-bluetooth-speaker-amphon.webp","697984","96998","600986","86.1","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อซีพียู","src/content/services/รับซื้อซีพียู.md","hero+content","/images/services/rub-sue-cpu-intel-amd-amphon.png","/images/services/rub-sue-cpu-intel-amd-amphon.webp","690521","81808","608713","88.2","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อแรม","src/content/services/รับซื้อแรม.md","hero+content","/images/services/rub-sue-ram-ddr4-ddr5-amphon.png","/images/services/rub-sue-ram-ddr4-ddr5-amphon.webp","684586","65130","619456","90.5","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อโน๊ตบุ๊คเกมมิ่ง","src/content/services/รับซื้อโน๊ตบุ๊คเกมมิ่ง.md","content","/images/services/rub-sue-gaming-notebook-amphon.png","/images/services/rub-sue-gaming-notebook-amphon.webp","684208","76952","607256","88.8","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อจอเกมมิ่ง","src/content/services/รับซื้อจอเกมมิ่ง.md","hero+content","/images/services/rub-sue-gaming-monitor-amphon.png","/images/services/rub-sue-gaming-monitor-amphon.webp","657567","57980","599587","91.2","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อโดรน","src/content/services/รับซื้อโดรน.md","hero+content","/images/services/rub-sue-drone-dji-amphon.png","/images/services/rub-sue-drone-dji-amphon.webp","655930","72532","583398","88.9","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","src/content/services/รับซื้อเครื่องใช้ไฟฟ้า.md","hero+content","/images/services/rub-sue-appliance-amphon.png","/images/services/rub-sue-appliance-amphon.webp","655369","72184","583185","89","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อหูฟัง","src/content/services/รับซื้อหูฟัง.md","content","/images/services/rub-sue-headphone-earbud-amphon.png","/images/services/rub-sue-headphone-earbud-amphon.webp","628378","60994","567384","90.3","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อเลนส์กล้อง","src/content/services/รับซื้อเลนส์กล้อง.md","hero+content","/images/services/rub-sue-camera-lens-amphon.png","/images/services/rub-sue-camera-lens-amphon.webp","625811","54674","571137","91.3","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อ-playstation","src/content/services/รับซื้อ-playstation.md","hero+content","/images/services/rub-sue-playstation-ps5-amphon.png","/images/services/rub-sue-playstation-ps5-amphon.webp","610717","48138","562579","92.1","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อ-nintendo-switch","src/content/services/รับซื้อ-nintendo-switch.md","hero+content","/images/services/rub-sue-nintendo-switch-amphon.png","/images/services/rub-sue-nintendo-switch-amphon.webp","578864","35658","543206","93.8","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อเครื่องเกม","src/content/services/รับซื้อเครื่องเกม.md","hero+content","/images/services/rub-sue-game-console-amphon.png","/images/services/rub-sue-game-console-amphon.webp","577844","31798","546046","94.5","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
"/บริการ/รับซื้อ-mac-mini","src/content/services/รับซื้อ-mac-mini.md","hero+content","/images/services/rub-sue-mac-mini-amphon.png","/images/services/rub-sue-mac-mini-amphon.webp","546830","30014","516816","94.5","1024x1024","1024x1024","yes","yes","yes","yes","dimensions+magic+size","CHANGED"
