"File","Change type","Batch","Expected","Decision"
"docs/batch-6-1-legacy-link-cleanup/batch-6-1-broken-links-baseline.csv","Added","6.1","Batch 6.1 report","Include - expected release scope"
"docs/batch-6-1-legacy-link-cleanup/batch-6-1-broken-links-fixed.csv","Added","6.1","Batch 6.1 report","Include - expected release scope"
"docs/batch-6-1-legacy-link-cleanup/batch-6-1-files-changed.csv","Added","6.1","Batch 6.1 report","Include - expected release scope"
"docs/batch-6-1-legacy-link-cleanup/batch-6-1-final-report.md","Added","6.1","Batch 6.1 report","Include - expected release scope"
"docs/batch-6-1-legacy-link-cleanup/batch-6-1-orphan-pages-audit.csv","Added","6.1","Batch 6.1 report","Include - expected release scope"
"docs/batch-6-1-legacy-link-cleanup/batch-6-1-qa-report.md","Added","6.1","Batch 6.1 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-cannibalization-audit.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-cluster-architecture.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-files-changed.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-final-report.md","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-gsc-query-audit.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-internal-links-before-after.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-ipad-cluster-map.md","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-iphone-cluster-map.md","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-metadata-before-after.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-pages-created.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-qa-report.md","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-query-ownership.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/batch-6-repository-baseline.md","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/ipad-content-inventory.csv","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/iphone-content-inventory.csv","Added","6","Batch 6 report","Include - expected release scope"
