URL,Category,Status,Canonical,Published,Updated,Lastmod,Source field,Schema datePublished,Schema dateModified,Result
https://amphon.co.th/blog/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%89%E0%B8%B1%E0%B8%99,Article,200,https://amphon.co.th/blog/ขายโทรศัพท์มือสองใกล้ฉัน,2026-07-27,2026-07-27,2026-07-27,updated,2026-07-27,2026-07-27,PASS
https://amphon.co.th/blog/%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87-sony-%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B9%87%E0%B8%81%E0%B8%AD%E0%B8%B0%E0%B9%84%E0%B8%A3%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%87,Article,200,https://amphon.co.th/blog/ขายกล้อง-sony-มือสอง-ต้องเช็กอะไรบ้าง,2026-07-27,2026-07-27,2026-07-27,updated,2026-07-27,2026-07-27,PASS
https://amphon.co.th/blog/mac-mini-m4-%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87,Article,200,https://amphon.co.th/blog/mac-mini-m4-มือสอง,2026-07-27,2026-07-27,2026-07-27,updated,2026-07-27,2026-07-27,PASS
https://amphon.co.th/blog/%E0%B9%81%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B9%84%E0%B8%AB%E0%B8%A3%E0%B9%88,Article,200,https://amphon.co.th/blog/แรมมือสองขายได้เท่าไหร่,2026-07-27,2026-07-27,2026-07-27,updated,2026-07-27,2026-07-27,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ipad,Service,200,https://amphon.co.th/บริการ/รับซื้อ-ipad,2026-06-24,,2026-06-24,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%97%E0%B9%87%E0%B8%9A%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%95,Service,200,https://amphon.co.th/บริการ/รับซื้อแท็บเล็ต,2026-07-21,,2026-07-21,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-iphone,Service,200,https://amphon.co.th/บริการ/รับซื้อ-iphone,2026-06-24,,2026-06-24,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%82%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%9E%E0%B8%97%E0%B9%8C%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87,Service,200,https://amphon.co.th/บริการ/รับซื้อโทรศัพท์มือสอง,2026-07-21,,2026-07-21,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-action-camera,Service,200,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ssd,Service,200,https://amphon.co.th/บริการ/รับซื้อ-ssd,2026-06-03,,2026-06-03,date,,,PASS
