URL,Page type,Status,Canonical,Published,Updated,Lastmod,Source field,Result
https://amphon.co.th,Static/Hub,200,https://amphon.co.th,,,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-acer-aspire,Service,200,https://amphon.co.th/บริการ/รับซื้อ-acer-aspire,2026-06-23,,2026-06-23,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-acer-nitro,Service,200,https://amphon.co.th/บริการ/รับซื้อ-acer-nitro,2026-06-23,,2026-06-23,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-acer-predator,Service,200,https://amphon.co.th/บริการ/รับซื้อ-acer-predator,2026-06-23,,2026-06-23,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-airpods,Service,200,https://amphon.co.th/บริการ/รับซื้อ-airpods,2026-06-24,,2026-06-24,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-apple,Service,200,https://amphon.co.th/บริการ/รับซื้อ-apple,2026-06-24,,2026-06-24,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-apple-pencil,Service,200,https://amphon.co.th/บริการ/รับซื้อ-apple-pencil,2026-06-14,,2026-06-14,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-apple-watch,Service,200,https://amphon.co.th/บริการ/รับซื้อ-apple-watch,2026-06-24,,2026-06-24,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-asus-expertbook,Service,200,https://amphon.co.th/บริการ/รับซื้อ-asus-expertbook,2026-06-23,,2026-06-23,date,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-asus-tuf-gaming,Service,200,https://amphon.co.th/บริการ/รับซื้อ-asus-tuf-gaming,2026-06-23,,2026-06-23,date,PASS
