Query,Clicks,Impressions,CTR,Position,Current likely URL,Intended URL,Cluster,Risk
ร้านรับจํานําโทรศัพท์ ใกล้ฉัน,5,58,0.0862,3.47,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านไอแพดมือสองใกล้ฉัน,2,7,0.2857,3.14,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อ ipad,1,42,0.023799999999999998,31.93,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านจํานําโทรศัพท์ ใกล้ฉัน,1,29,0.0345,3.07,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
โรงรับจํานําอุบล,1,18,0.0556,7.89,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
จํานําไอคราว อุบล,1,14,0.07139999999999999,2.29,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านรับ จํา นํา โทรศัพท์ ใกล้ฉัน,1,9,0.11109999999999999,3,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้าน รับซื้อโทรศัพท์ เสีย อำเภอ เมือง อุดรธานี อุดรธานี,1,8,0.125,7.5,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้าน จํา นํา โทรศัพท์ อุบลราชธานี,1,7,0.1429,2.14,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
จํานําไอแพด ใกล้ฉัน,1,6,0.16670000000000001,1.5,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับซื้อ ไอโฟน,1,5,0.2,61.4,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-iphone,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านฝากโทรศัพท์ ใกล้ฉัน,1,2,0.5,2.5,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับซื้อซากโทรศัพท์เก่า ใกล้ฉัน,1,1,1,1,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้าน รับ จํานํา ไอ คราว ใกล้ ฉัน,1,1,1,1,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ไอแพดมือ2ใกล้ฉัน,1,1,1,1,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
โรงรับจํานํา เครื่องใช้ไฟฟ้า ใกล้ฉัน,1,1,1,5,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับซื้อ iphone,0,55,0,53.16,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-iphone,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อไอโฟน,0,44,0,51.52,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-iphone,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อไอแพด,0,34,0,47.97,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับซื้อโทรศัพท์ใกล้ฉัน,0,27,0,9.15,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อ iphone ราคาสูง,0,27,0,60.89,Unknown — Query × Page unavailable,/blog/ราคา-iphone-มือสอง-2026,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับซื้อ ipad,0,26,0,41.96,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ดูรุ่นไอแพดยังไง,0,21,0,10.67,Unknown — Query × Page unavailable,/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับซื้อไอโฟน,0,20,0,46.15,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-iphone,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อโทรศัพท์ ใกล้ฉัน,0,13,0,11.38,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อiphone,0,13,0,63.54,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-iphone,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับจํานําโทรศัพท์ ใกล้ฉัน,0,12,0,4.83,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านรับซื้อโทรศัพท์ มือสอง ใกล้ฉัน,0,12,0,5.42,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
วิธีดูรุ่นไอแพด,0,11,0,9.91,Unknown — Query × Page unavailable,/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
จํานําโน๊ตบุ๊ค ใกล้ฉัน,0,10,0,2.1,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
จํานําโทรศัพท์ ใกล้ฉัน,0,10,0,3.8,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับซื้อไอแพด ใกล้ฉัน,0,10,0,4.4,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับซื้อไอแพดใกล้ฉัน,0,10,0,8.5,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับ จํา นํา โทรศัพท์ 24 ชม. ใกล้ฉัน,0,9,0,1.33,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับซื้อโทรศัพท์ ใกล้ฉัน,0,9,0,3.56,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับจํานํามือถือ ใกล้ฉัน,0,9,0,5.56,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับซื้อแท็บเล็ตใกล้ฉัน,0,8,0,3.25,Unknown — Query × Page unavailable,/บริการ/รับซื้อแท็บเล็ต,Tablet,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับจำนำ,0,8,0,3.25,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านจํานํา ใกล้ฉัน,0,8,0,5.75,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
วิธีดูรุ่น ipad,0,8,0,8.62,Unknown — Query × Page unavailable,/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับจํานําเครื่องมือช่าง ใกล้ฉัน,0,7,0,2,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับจํานําโทรศัพท์,0,7,0,3.43,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ดูว่าไอแพดรุ่นอะไร,0,7,0,8.71,Unknown — Query × Page unavailable,/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับซื้อโทรศัพท์มือสอง ใกล้ฉัน,0,7,0,18.86,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับซื้อไอแพดใกล้ฉัน,0,7,0,27.14,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-ipad,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ประเมินราคาไอแพด,0,7,0,34.43,Unknown — Query × Page unavailable,/blog/ราคา-ipad-มือสอง-2026,iPad,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับฝากโทรศัพท์ ใกล้ฉัน,0,6,0,3.83,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับจํานํามือถือ ใกล้ฉัน,0,6,0,4.33,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านรับซื้อบอร์ดโทรศัพท์ ใกล้ ฉัน,0,6,0,4.67,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
ร้านรับจํานํา ใกล้ฉัน,0,6,0,6.33,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับซื้อไอโฟน 11,0,6,0,55,Unknown — Query × Page unavailable,/บริการ/รับซื้อ-iphone,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
เช็คราคารับซื้อไอโฟน,0,6,0,68.67,Unknown — Query × Page unavailable,/blog/ราคา-iphone-มือสอง-2026,iPhone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับฝากมือถือ,0,5,0,2,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับฝากโทรศัพท์ ใกล้ฉัน,0,5,0,2.2,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านรับจํานําไอแพด ใกล้ฉัน,0,5,0,2.6,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับจํานํามือถือ,0,5,0,3,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านจำนำ,0,5,0,3,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
จำนำ,0,5,0,3.4,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
จํานํามือถือ ใกล้ฉัน,0,5,0,3.4,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้านรับ จํา นํา โทรศัพท์ ติดผ่อน ใกล้ฉัน,0,5,0,3.8,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
รับจํานําอุบล,0,5,0,4.8,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
รับจํานําโน๊ตบุ๊ค ใกล้ฉัน,0,5,0,6.2,Unknown — Query × Page unavailable,/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,Phone,Business-intent mismatch
ร้าน รับซื้อโทรศัพท์ เสีย ใกล้ฉัน เปิด ให้บริการ อยู่,0,5,0,7.2,Unknown — Query × Page unavailable,/บริการ/รับซื้อโทรศัพท์มือสอง,Phone,Insufficient evidence — actual query-to-landing-page relationship cannot be confirmed
