Source file,URL,Page type,Title,H1,Main keyword,Word count,Indexable,Canonical,Internal links in,Internal links out,GSC clicks,GSC impressions,Position,Risk
src/content/services/รับซื้อแท็บเล็ต.md,/บริการ/รับซื้อแท็บเล็ต,Transactional Hub,รับซื้อแท็บเล็ตมือสอง Samsung Xiaomi Huawei Lenovo | อำพล เทรดดิ้ง,รับซื้อแท็บเล็ตมือสอง Android และ Windows Tablet,รับซื้อแท็บเล็ต,1138,Yes,https://amphon.co.th/บริการ/รับซื้อแท็บเล็ต,44,3,0,0,,Low
src/content/services/รับซื้อ-apple-pencil.md,/บริการ/รับซื้อ-apple-pencil,Transactional Service,"รับซื้อ Apple Pencil มือสอง Gen 1, Gen 2, USB-C, Pro",รับซื้อ Apple Pencil มือสอง Gen 1 Gen 2 USB-C และ Pro,รับซื้อ Apple Pencil,214,Yes,https://amphon.co.th/บริการ/รับซื้อ-apple-pencil,6,1,4,25,8.08,Thin; Preserve GSC signal
src/content/services/รับซื้อ-ipad.md,/บริการ/รับซื้อ-ipad,Transactional Hub,รับซื้อ iPad มือสอง Pro / Air / mini ส่งรูปเช็กราคาได้,รับซื้อ iPad มือสอง ส่งรูปเช็กราคาได้ทั่วประเทศ,รับซื้อ iPad,1705,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad,117,17,0,161,39.16,Preserve GSC signal
src/content/services/รับซื้อ-ipad-จอแตก.md,/บริการ/รับซื้อ-ipad-จอแตก,Condition,รับซื้อ iPad จอแตก จอเป็นเส้น ทัชไม่ติด ให้ราคาแฟร์,รับซื้อ iPad จอแตก จอเป็นเส้น ทัชไม่ติด ประเมินตามสภาพ,รับซื้อ iPad จอแตก,192,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad-จอแตก,4,1,7,104,6.09,Thin; Preserve GSC signal
src/content/services/รับซื้อ-ipad-เสีย.md,/บริการ/รับซื้อ-ipad-เสีย,Condition,รับซื้อ iPad เสีย เปิดไม่ติด แบตเสื่อม ประเมินราคาซาก,รับซื้อ iPad เสีย เปิดไม่ติด แบตเสื่อม ประเมินตามอะไหล่,รับซื้อ iPad เสีย,211,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad-เสีย,5,1,0,1,6,Thin
src/content/services/รับซื้อ-ipad-air.md,/บริการ/รับซื้อ-ipad-air,Model Family,รับซื้อ iPad Air มือสอง ประเมินตามสภาพจริง M1 M2 M3 ทุกความจุ,รับซื้อ iPad Air มือสอง M1 M2 M3 ประเมินตามสภาพจริง,รับซื้อ iPad Air,230,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad-air,6,1,0,2,7.5,Thin
src/content/services/รับซื้อ-ipad-gen.md,/บริการ/รับซื้อ-ipad-gen,Model Family,"รับซื้อ iPad Gen มือสอง รุ่นมาตรฐาน 8, 9, 10 ประเมินฟรี",รับซื้อ iPad Gen มือสอง Gen 8 Gen 9 Gen 10 ประเมินฟรี,รับซื้อ iPad Gen,172,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad-gen,5,1,2,28,9.61,Thin; Preserve GSC signal
src/content/services/รับซื้อ-ipad-mini.md,/บริการ/รับซื้อ-ipad-mini,Model Family,รับซื้อ iPad mini มือสอง รุ่นพกพา ประเมินฟรี ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว,รับซื้อ iPad mini มือสอง รุ่นพกพา ประเมินตามสภาพจริง ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว,รับซื้อ iPad mini,160,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad-mini,5,2,0,3,8.67,Thin
src/content/services/รับซื้อ-ipad-pro.md,/บริการ/รับซื้อ-ipad-pro,Model Family,รับซื้อ iPad Pro มือสอง ประเมินตามรุ่น ความจุ และสภาพจริง,รับซื้อ iPad Pro มือสอง ส่งรูปประเมินราคาเบื้องต้นได้,รับซื้อ iPad Pro,364,Yes,https://amphon.co.th/บริการ/รับซื้อ-ipad-pro,5,7,3,71,15.73,Preserve GSC signal
src/content/services/รับซื้อ-magic-keyboard-ipad.md,/บริการ/รับซื้อ-magic-keyboard-ipad,Transactional Service,รับซื้อ Magic Keyboard iPad มือสอง Smart Keyboard หลายรุ่น,รับซื้อ Magic Keyboard iPad มือสอง ประเมินตามรุ่นและสภาพ,รับซื้อ Magic Keyboard iPad,269,Yes,https://amphon.co.th/บริการ/รับซื้อ-magic-keyboard-ipad,5,1,12,109,7.75,Preserve GSC signal
