Source file,URL,Page type,Title,H1,Main keyword,Word count,Indexable,Canonical,Internal links in,Internal links out,GSC clicks,GSC impressions,Position,Risk
src/content/services/รับซื้อโทรศัพท์มือสอง.md,/บริการ/รับซื้อโทรศัพท์มือสอง,Transactional Hub,รับซื้อโทรศัพท์มือสองทุกยี่ห้อ Samsung OPPO vivo Xiaomi | อำพล เทรดดิ้ง,รับซื้อโทรศัพท์มือสองทุกยี่ห้อ ส่งรูปประเมินออนไลน์,รับซื้อโทรศัพท์มือสอง,1336,Yes,https://amphon.co.th/บริการ/รับซื้อโทรศัพท์มือสอง,7,4,0,3,25.67,Low
src/content/services/รับซื้อโทรศัพท์เสีย.md,/บริการ/รับซื้อโทรศัพท์เสีย,Condition,รับซื้อโทรศัพท์เสีย จอแตก เปิดไม่ติด บอร์ดเสีย | อำพล เทรดดิ้ง,รับซื้อโทรศัพท์เสีย จอแตก เปิดไม่ติด และเครื่องมีปัญหา,รับซื้อโทรศัพท์เสีย,1213,Yes,https://amphon.co.th/บริการ/รับซื้อโทรศัพท์เสีย,3,2,0,4,7.25,Low
src/content/services/รับซื้อมือถือ.md,/บริการ/รับซื้อมือถือ,Duplicate candidate,รับซื้อมือถือมือสองหลายแบรนด์ทั่วประเทศ ส่งรูปประเมินฟรี,รับซื้อมือถือมือสองหลายแบรนด์ ประเมินตามสภาพจริงทั่วประเทศ,รับซื้อมือถือ,908,Yes,https://amphon.co.th/บริการ/รับซื้อมือถือ,0,3,0,0,,Probable Phone Hub overlap
src/content/services/รับซื้อ-iphone.md,/บริการ/รับซื้อ-iphone,Transactional Hub,รับซื้อ iPhone มือสอง ส่งรูปเช็กราคาได้ทั่วประเทศ,รับซื้อ iPhone มือสอง ส่งรูปเช็กราคาได้ทั่วประเทศ,รับซื้อ iPhone,1705,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone,171,15,1,253,51.81,Preserve GSC signal
src/content/services/รับซื้อ-iphone-13.md,/บริการ/รับซื้อ-iphone-13,Model Family,รับซื้อ iPhone 13 รับซื้อไอโฟน 13 Pro Max มือสอง ประเมินตามสภาพจริง | อำพล เทรดดิ้ง,รับซื้อ iPhone 13 มือสอง 13 Pro 13 Pro Max ประเมินตามสภาพ,รับซื้อ iPhone 13,275,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-13,2,3,0,0,,Low
src/content/services/รับซื้อ-iphone-14.md,/บริการ/รับซื้อ-iphone-14,Model Family,รับซื้อ iPhone 14 รับซื้อไอโฟน 14 Pro Max มือสอง | อำพล เทรดดิ้ง,รับซื้อ iPhone 14 มือสอง 14 Pro 14 Pro Max ประเมินตามสภาพจริง,รับซื้อ iPhone 14,398,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-14,3,5,0,0,,Low
src/content/services/รับซื้อ-iphone-15.md,/บริการ/รับซื้อ-iphone-15,Model Family,รับซื้อ iPhone 15 มือสอง ประเมินตามรุ่นและสภาพจริง,รับซื้อ iPhone 15 มือสอง ส่งรูปประเมินราคาเบื้องต้น,รับซื้อ iPhone 15,442,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-15,9,8,0,6,14.33,Low
src/content/services/รับซื้อ-iphone-16.md,/บริการ/รับซื้อ-iphone-16,Model Family,รับซื้อ iPhone 16 มือสอง ประเมินตามรุ่นและสภาพจริง,รับซื้อ iPhone 16 มือสอง ส่งรูปประเมินราคาเบื้องต้น,รับซื้อ iPhone 16,434,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-16,6,7,0,0,,Low
src/content/services/รับซื้อ-iphone-17.md,/บริการ/รับซื้อ-iphone-17,Model Family,รับซื้อ iPhone 17 มือสอง ประเมินตามสภาพจริง | Amphon.co.th,รับซื้อ iPhone 17 มือสอง ประเมินตามรุ่น ความจุ และสภาพจริง,รับซื้อ iPhone 17,438,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-17,6,7,1,31,10.32,Preserve GSC signal
src/content/services/รับซื้อ-iphone-เครื่องนอก.md,/บริการ/รับซื้อ-iphone-เครื่องนอก,Transactional Service,รับซื้อ iPhone เครื่องนอก เครื่องศูนย์ต่างประเทศ | อำพล เทรดดิ้ง,รับซื้อ iPhone เครื่องนอก เครื่องศูนย์นอก ประเมินตามรุ่นและสถานะเครือข่าย,รับซื้อ iPhone เครื่องนอก,366,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-เครื่องนอก,3,5,0,0,,Low
src/content/services/รับซื้อ-iphone-จอแตก.md,/บริการ/รับซื้อ-iphone-จอแตก,Condition,รับซื้อ iPhone จอแตก จอเป็นเส้น ทัชไม่ติด มือสอง | อำพล เทรดดิ้ง,รับซื้อ iPhone จอแตก จอเป็นเส้น ทัชไม่ติด ประเมินตามสภาพ,รับซื้อ iPhone จอแตก,343,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-จอแตก,13,4,0,0,,Low
src/content/services/รับซื้อ-iphone-ติด-icloud.md,/บริการ/รับซื้อ-iphone-ติด-icloud,Condition,ประเมิน iPhone หลังปลด iCloud และ Activation Lock แล้ว,ประเมิน iPhone หลังเจ้าของเดิมปลดบัญชี Apple เรียบร้อย,ประเมิน iPhone หลังปลด iCloud,518,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-ติด-icloud,10,4,0,3,9,Service/guide overlap
src/content/services/รับซื้อ-iphone-face-id-เสีย.md,/บริการ/รับซื้อ-iphone-face-id-เสีย,Condition,รับซื้อ iPhone Face ID เสีย สแกนหน้าไม่ได้ มือสอง | อำพล เทรดดิ้ง,รับซื้อ iPhone Face ID เสีย ประเมินราคาตามอาการจริง,รับซื้อ iPhone Face ID เสีย,322,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-face-id-เสีย,7,5,0,17,4,Low
src/content/services/รับซื้อ-iphone-pro-max.md,/บริการ/รับซื้อ-iphone-pro-max,Model Family,รับซื้อ iPhone Pro Max มือสอง ประเมินตามรุ่น ความจุ และสภาพจริง,รับซื้อ iPhone Pro Max มือสองหลายรุ่น ส่งรูปประเมินเบื้องต้น,รับซื้อ iPhone Pro Max,466,Yes,https://amphon.co.th/บริการ/รับซื้อ-iphone-pro-max,13,10,0,3,9.67,Low
src/content/serviceAreas/รับซื้อ-iphone-กาฬสินธุ์.md,/รับซื้อ/รับซื้อ-iphone-กาฬสินธุ์,Location,รับซื้อ iPhone กาฬสินธุ์ ประเมินราคาเบื้องต้น,รับซื้อ iPhone กาฬสินธุ์ ประเมินราคาเบื้องต้น,รับซื้อ iPhone กาฬสินธุ์,713,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-กาฬสินธุ์,2,2,0,5,13.2,Location template; no rewrite
src/content/serviceAreas/รับซื้อ-iphone-ขอนแก่น.md,/รับซื้อ/รับซื้อ-iphone-ขอนแก่น,Location,รับซื้อ iPhone ขอนแก่น ประเมินราคาเบื้องต้น,รับซื้อ iPhone ขอนแก่น ประเมินราคาเบื้องต้น,รับซื้อ iPhone ขอนแก่น,733,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-ขอนแก่น,2,2,0,0,,Location template; no rewrite
src/content/serviceAreas/รับซื้อ-iphone-ชัยภูมิ.md,/รับซื้อ/รับซื้อ-iphone-ชัยภูมิ,Location,รับซื้อ iPhone ชัยภูมิ ประเมินราคาเบื้องต้น,รับซื้อ iPhone ชัยภูมิ ประเมินราคาเบื้องต้น,รับซื้อ iPhone ชัยภูมิ,737,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-ชัยภูมิ,1,2,0,0,,Location template; no rewrite
src/content/serviceAreas/รับซื้อ-iphone-นครพนม.md,/รับซื้อ/รับซื้อ-iphone-นครพนม,Location,รับซื้อ iPhone นครพนม ประเมินราคาเบื้องต้น,รับซื้อ iPhone นครพนม ประเมินราคาเบื้องต้น,รับซื้อ iPhone นครพนม,679,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-นครพนม,1,2,0,1,7,Location template; no rewrite
src/content/serviceAreas/รับซื้อ-iphone-นครราชสีมา.md,/รับซื้อ/รับซื้อ-iphone-นครราชสีมา,Location,รับซื้อ iPhone นครราชสีมา ประเมินราคาเบื้องต้น,รับซื้อ iPhone นครราชสีมา ประเมินราคาเบื้องต้น,รับซื้อ iPhone นครราชสีมา,748,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-นครราชสีมา,2,2,0,0,,Location template; no rewrite
src/content/serviceAreas/รับซื้อ-iphone-บึงกาฬ.md,/รับซื้อ/รับซื้อ-iphone-บึงกาฬ,Location,รับซื้อ iPhone บึงกาฬ ประเมินราคาเบื้องต้น,รับซื้อ iPhone บึงกาฬ ประเมินราคาเบื้องต้น,รับซื้อ iPhone บึงกาฬ,693,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-บึงกาฬ,1,2,0,0,,Location template; no rewrite
src/content/serviceAreas/รับซื้อ-iphone-บุรีรัมย์.md,/รับซื้อ/รับซื้อ-iphone-บุรีรัมย์,Location,รับซื้อ iPhone บุรีรัมย์ ประเมินราคาเบื้องต้น,รับซื้อ iPhone บุรีรัมย์ ประเมินราคาเบื้องต้น,รับซื้อ iPhone บุรีรัมย์,723,Yes,https://amphon.co.th/รับซื้อ/รับซื้อ-iphone-บุรีรัมย์,2,2,1,1,3,Preserve GSC signal; Location template; no rewrite
