url,source_file,component,asset,image_role,width_before,height_before,intrinsic_width,intrinsic_height,aspect_ratio_before,intrinsic_aspect_ratio,loading,fetchpriority,css_class,issue,expected_action,status
/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร,src/content/blog/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-cpu,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-jbl,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-bluetooth-speaker-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-jbl,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-bluetooth-speaker-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-marshall,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-bluetooth-speaker-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-marshall,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-bluetooth-speaker-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-nintendo-switch,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-nintendo-switch-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-playstation,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-playstation-ps5-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-playstation,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-playstation-ps5-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-ram-ssd,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อ-ssd,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-ssd-hdd-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อการ์ดจอ,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
