url,source_file,component,page_type,evidence,source_status,build_status,production_status,expected,classification,action
"/พื้นที่ให้บริการ/กาญจนบุรี","src/content/areas/กาญจนบุรี.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/กาฬสินธุ์","src/content/areas/กาฬสินธุ์.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/ขอนแก่น","src/content/areas/ขอนแก่น.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/จันทบุรี","src/content/areas/จันทบุรี.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/ชลบุรี","src/content/areas/ชลบุรี.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/ชัยภูมิ","src/content/areas/ชัยภูมิ.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/ตราด","src/content/areas/ตราด.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/ตาก","src/content/areas/ตาก.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/นครพนม","src/content/areas/นครพนม.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
"/พื้นที่ให้บริการ/นครราชสีมา","src/content/areas/นครราชสีมา.md","markdown-body","area","tel:0642579353 x2","FIXED","PENDING_BUILD","WAS_MIXED_PRE_FIX","tel:+66642579353 only","CONFIRMED_ACTIVE","normalize_href_e164"
