source,source_variant,current_destination,intermediate_targets,final_target,redirect_hops_apex_https,final_status,final_host,final_scheme,self_canonical,indexable,query_preservation_expected,safe_for_www_direct_rule,reason
/บริการ/รับซื้อ-gopro,unicode,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,encoded,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/blog/how-to-reset-playstation,ascii,/blog,/blog,/blog,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/blog/check-nintendo-joycon,ascii,/blog,/blog,/blog,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด/,unicode,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,0,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/บริการ/รับซื้อเลนส์,unicode,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,encoded,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/บริการ/รับซื้อ-hdd,unicode,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,encoded,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/บริการ/รับซื้อ-storage-nas,unicode,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
