rule_id,source,destination,status_code,permanent,host_condition,query_preserved,unicode_source,encoded_source,external,source_file,rule_order,active,notes
R0001,/บริการ/รับซื้อ-gopro,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,1,yes,
R0002,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,2,yes,
R0003,/blog/how-to-reset-playstation,/blog,308,true,,default-false,ascii,no,no,vercel.json,3,yes,
R0004,/blog/check-nintendo-joycon,/blog,308,true,,default-false,ascii,no,no,vercel.json,4,yes,
R0005,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด/,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,308,true,,default-false,unicode,no,no,vercel.json,5,yes,
R0006,/บริการ/รับซื้อเลนส์,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,6,yes,
R0007,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,7,yes,
R0008,/บริการ/รับซื้อ-hdd,/บริการ/รับซื้อ-ssd,308,true,,default-false,unicode,no,no,vercel.json,8,yes,
R0009,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,/บริการ/รับซื้อ-ssd,308,true,,default-false,encoded,yes,no,vercel.json,9,yes,
R0010,/บริการ/รับซื้อ-storage-nas,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,10,yes,
R0011,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,11,yes,
R0012,/รับซื้อ/รับซื้อ-hdd,/บริการ/รับซื้อ-ssd,308,true,,default-false,unicode,no,no,vercel.json,12,yes,
R0013,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,/บริการ/รับซื้อ-ssd,308,true,,default-false,encoded,yes,no,vercel.json,13,yes,
R0014,/รับซื้อ/รับซื้อ-gopro,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,14,yes,
R0015,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,15,yes,
R0016,/รับซื้อ/รับซื้อเลนส์,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,16,yes,
R0017,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,17,yes,
R0018,/รับซื้อ/รับซื้อ-storage-nas,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,18,yes,
R0019,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,19,yes,
R0020,/รับซื้อ,/รับซื้อสินค้าไอที,308,true,,default-false,unicode,no,no,vercel.json,20,yes,
R0021,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD,/รับซื้อสินค้าไอที,308,true,,default-false,encoded,yes,no,vercel.json,21,yes,
R0022,/บริการ/รับซื้อสินค้าไอที,/รับซื้อสินค้าไอที,308,true,,default-false,unicode,no,no,vercel.json,22,yes,
R0023,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%97%E0%B8%B5,/รับซื้อสินค้าไอที,308,true,,default-false,encoded,yes,no,vercel.json,23,yes,
R0024,/รับซื้อ/รับซื้อ-hdd-กาฬสินธุ์,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,308,true,,default-false,unicode,no,no,vercel.json,24,yes,
R0025,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,308,true,,default-false,encoded,yes,no,vercel.json,25,yes,
R0026,/รับซื้อ/รับซื้อ-gopro-กาฬสินธุ์,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,26,yes,
R0027,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,27,yes,
R0028,/รับซื้อ/รับซื้อเลนส์-กาฬสินธุ์,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,28,yes,
R0029,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,29,yes,
R0030,/รับซื้อ/รับซื้อ-storage-nas-กาฬสินธุ์,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,30,yes,
R0031,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,31,yes,
R0032,/รับซื้อ/รับซื้อ-hdd-ขอนแก่น,/รับซื้อ/รับซื้อ-ssd-ขอนแก่น,308,true,,default-false,unicode,no,no,vercel.json,32,yes,
R0033,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,/รับซื้อ/รับซื้อ-ssd-ขอนแก่น,308,true,,default-false,encoded,yes,no,vercel.json,33,yes,
R0034,/รับซื้อ/รับซื้อ-gopro-ขอนแก่น,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,34,yes,
