rule_id,source,source_variant,existing_destination,resolved_final_target,www_destination,host,status_code_phase_a,status_code_phase_b,preserve_query,rule_order,generated_from,included,exclusion_reason
WWW-R0001,/บริการ/รับซื้อ-gopro,unicode,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,1,R0001,yes,
WWW-R0002,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,encoded,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,2,R0002,yes,
WWW-R0003,/blog/how-to-reset-playstation,ascii,/blog,/blog,https://amphon.co.th/blog,www.amphon.co.th,307,308,true,3,R0003,yes,
WWW-R0004,/blog/check-nintendo-joycon,ascii,/blog,/blog,https://amphon.co.th/blog,www.amphon.co.th,307,308,true,4,R0004,yes,
WWW-R0005,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด/,unicode,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,https://amphon.co.th/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,www.amphon.co.th,307,308,true,5,R0005,yes,
WWW-R0006,/บริการ/รับซื้อเลนส์,unicode,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,6,R0006,yes,
WWW-R0007,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,encoded,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,7,R0007,yes,
WWW-R0008,/บริการ/รับซื้อ-hdd,unicode,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,https://amphon.co.th/บริการ/รับซื้อ-ssd,www.amphon.co.th,307,308,true,8,R0008,yes,
WWW-R0009,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,encoded,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,https://amphon.co.th/บริการ/รับซื้อ-ssd,www.amphon.co.th,307,308,true,9,R0009,yes,
WWW-R0010,/บริการ/รับซื้อ-storage-nas,unicode,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,https://amphon.co.th/บริการ/รับซื้อ-nas,www.amphon.co.th,307,308,true,10,R0010,yes,
WWW-R0011,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas,encoded,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,https://amphon.co.th/บริการ/รับซื้อ-nas,www.amphon.co.th,307,308,true,11,R0011,yes,
WWW-R0012,/รับซื้อ/รับซื้อ-hdd,unicode,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,https://amphon.co.th/บริการ/รับซื้อ-ssd,www.amphon.co.th,307,308,true,12,R0012,yes,
WWW-R0013,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,encoded,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,https://amphon.co.th/บริการ/รับซื้อ-ssd,www.amphon.co.th,307,308,true,13,R0013,yes,
WWW-R0014,/รับซื้อ/รับซื้อ-gopro,unicode,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,14,R0014,yes,
WWW-R0015,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,encoded,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,15,R0015,yes,
WWW-R0016,/รับซื้อ/รับซื้อเลนส์,unicode,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,16,R0016,yes,
WWW-R0017,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,encoded,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,17,R0017,yes,
WWW-R0018,/รับซื้อ/รับซื้อ-storage-nas,unicode,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,https://amphon.co.th/บริการ/รับซื้อ-nas,www.amphon.co.th,307,308,true,18,R0018,yes,
WWW-R0019,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas,encoded,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,https://amphon.co.th/บริการ/รับซื้อ-nas,www.amphon.co.th,307,308,true,19,R0019,yes,
WWW-R0020,/รับซื้อ,unicode,/รับซื้อสินค้าไอที,/รับซื้อสินค้าไอที,https://amphon.co.th/รับซื้อสินค้าไอที,www.amphon.co.th,307,308,true,20,R0020,yes,
WWW-R0021,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD,encoded,/รับซื้อสินค้าไอที,/รับซื้อสินค้าไอที,https://amphon.co.th/รับซื้อสินค้าไอที,www.amphon.co.th,307,308,true,21,R0021,yes,
WWW-R0022,/บริการ/รับซื้อสินค้าไอที,unicode,/รับซื้อสินค้าไอที,/รับซื้อสินค้าไอที,https://amphon.co.th/รับซื้อสินค้าไอที,www.amphon.co.th,307,308,true,22,R0022,yes,
WWW-R0023,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%97%E0%B8%B5,encoded,/รับซื้อสินค้าไอที,/รับซื้อสินค้าไอที,https://amphon.co.th/รับซื้อสินค้าไอที,www.amphon.co.th,307,308,true,23,R0023,yes,
WWW-R0024,/รับซื้อ/รับซื้อ-hdd-กาฬสินธุ์,unicode,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,https://amphon.co.th/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,www.amphon.co.th,307,308,true,24,R0024,yes,
WWW-R0025,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,encoded,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,https://amphon.co.th/รับซื้อ/รับซื้อ-ssd-กาฬสินธุ์,www.amphon.co.th,307,308,true,25,R0025,yes,
WWW-R0026,/รับซื้อ/รับซื้อ-gopro-กาฬสินธุ์,unicode,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,26,R0026,yes,
WWW-R0027,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,encoded,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,27,R0027,yes,
WWW-R0028,/รับซื้อ/รับซื้อเลนส์-กาฬสินธุ์,unicode,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,28,R0028,yes,
