url,decision_group,page_strategy,owner_status,bucket,notes
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,BD-01,KEEP_EXISTING_URLS_AND_IMPROVE,OWNER CONFIRMED — KEEP-AND-IMPROVE COMPLETE,Improved,
