url,page_type,source_file,generated,expected_status,indexable,canonical,sitemap,title,description,h1,schema_types,visible_words,inbound_links,outbound_links,image_count,status
/404,other,dist/client/404.html,yes,200,no,/404,no,ไม่พบหน้านี้ — 404 | Amphon.co.th,ไม่พบหน้าที่คุณกำลังมองหา กลับสู่หน้าแรก หรือติดต่อเราได้เลย,ไม่พบหน้านี้,BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,44,0,37,3,OK
/about,company,dist/client/about/index.html,yes,200,yes,/about,yes,เกี่ยวกับเรา | Amphon.co.th,อำพล เทรดดิ้ง รับซื้อสินค้าไอทีมือสองทั่วภาคอีสาน มีหน้าร้านจริง อุบลราชธานี ทีมงานมืออาชีพ ประเมินราคาโปร่งใส ชำระเงินห,เกี่ยวกับ อำพล เทรดดิ้ง,AboutPage|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebSite,146,1167,31,8,OK
/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม,blog,dist/client/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม/index.html,yes,200,yes,/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม,yes,AirPods แบตเสื่อม ข้างหนึ่งดังเบา หรือเคสชาร์จไม่เข้า ขายได้ไหม | Amphon.co.th,AirPods แบตเสื่อม ข้างหนึ่งดังเบา หรือเคสชาร์จไม่เข้า ขายได้ไหม อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่,AirPods แบตเสื่อม ข้างหนึ่งดังเบา หรือเคสชาร์จไม่เข้า ขายได้ไหม,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,506,42,41,4,OK
/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง,blog,dist/client/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง/index.html,yes,200,yes,/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง,yes,Apple Watch ก่อนขายต้องล้างข้อมูลและปลดล็อกอะไรบ้าง | Amphon.co.th,Apple Watch ก่อนขายต้องล้างข้อมูลและปลดล็อกอะไรบ้าง อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webu,Apple Watch ก่อนขายต้องล้างข้อมูลและปลดล็อกอะไรบ้าง,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,540,42,41,4,OK
/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย,blog,dist/client/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย/index.html,yes,200,yes,/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย,yes,iMac และ Mac mini มือสองขายอย่างไรให้ประเมินง่าย | Amphon.co.th,iMac และ Mac mini มือสองขายอย่างไรให้ประเมินง่าย อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โ,iMac และ Mac mini มือสองขายอย่างไรให้ประเมินง่าย,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,546,42,41,4,OK
/blog,blog,dist/client/blog/index.html,yes,200,yes,/blog,yes,บทความและคำแนะนำ | Amphon.co.th,บทความคำแนะนำการขายสินค้าไอที เช็กราคา เตรียมเครื่อง และวางแผนก่อนส่งขาย,บทความและคำแนะนำ,BreadcrumbList|CollectionPage|ContactPoint|Country|GeoCoordinates|ImageObject|ItemList|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebSite,1711,1167,244,3,OK
/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม,blog,dist/client/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม/index.html,yes,200,yes,/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม,yes,iPad จอแตก เครื่องงอ แบตเสื่อม ยังขายได้ไหม | Amphon.co.th,iPad จอแตก เครื่องงอ แบตเสื่อม ยังขายได้ไหม อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โทร 06,iPad จอแตก เครื่องงอ แบตเสื่อม ยังขายได้ไหม,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,508,6,41,4,OK
/blog/ipad-ติด-icloud-ขายได้ไหม,blog,dist/client/blog/ipad-ติด-icloud-ขายได้ไหม/index.html,yes,200,yes,/blog/ipad-ติด-icloud-ขายได้ไหม,yes,iPad ติด iCloud ขายได้ไหม ต้องปลดอะไรให้เรียบร้อย | Amphon.co.th,iPad ที่ยังผูกบัญชี Apple หรือมี Activation Lock ต้องให้เจ้าของเดิมปิด Find My และนำเครื่องออกจากบัญชีก่อนขาย พร้อมขั้นต,iPad ติด iCloud ขายได้ไหม ต้องปลดอะไรให้เรียบร้อย,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,276,3,40,4,OK
/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย,blog,dist/client/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย/index.html,yes,200,yes,/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย,yes,iPhone ติด iCloud หรือลืม Apple Account (Apple ID) ก่อนขาย | Amphon.co.th,iPhone ที่ยังติด iCloud หรือ Activation Lock ต้องให้เจ้าของเดิมปิด Find My และนำเครื่องออกจากบัญชี Apple ก่อนขาย พร้อมแน,iPhone ติด iCloud หรือลืม Apple Account (Apple ID) ก่อนขาย,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,528,4,41,4,OK
/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม,blog,dist/client/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม/index.html,yes,200,yes,/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม,yes,iPhone แบตเสื่อม Face ID เสีย จอแตก ยังขายได้ไหม | Amphon.co.th,iPhone แบตเสื่อม Face ID เสีย จอแตก ยังขายได้ไหม อ่านง่ายสำหรับคนที่ต้องการขายสินค้าไอที ประเมินฟรี ติดต่อ Line @webuy โ,iPhone แบตเสื่อม Face ID เสีย จอแตก ยังขายได้ไหม,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,511,3,41,4,OK
