url,status,lastmod,robots,canonical,in_local_sitemap,in_local_routes,result
/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://amphon.co.th,yes,yes,PASS
/บริการ/รับซื้อ-acer-aspire,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-acer-nitro,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-acer-predator,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-airpods,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-apple,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-apple-pencil,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-apple-watch,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-asus-expertbook,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-asus-tuf-gaming,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-asus-vivobook,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-cpu,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-dell-alienware,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-dell-g-series,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-dell-inspiron,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-dell-latitude,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-desktop-pc,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-gaming-pc,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-gigabyte-aorus,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-gigabyte-g5-g6-g7,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-gigabyte-gaming-notebook,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-gopro-action-camera,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-hp-elitebook,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-hp-omen,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-hp-pavilion,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-hp-victus,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-imac,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-imac-mac-mini,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad-จอแตก,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad-เสีย,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad-air,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad-gen,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad-mini,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-ipad-pro,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone,200,2026-06-24,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-จอแตก,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-ติด-icloud,200,2026-07-27,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-เครื่องนอก,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-13,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-14,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-15,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-16,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-17,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-face-id-เสีย,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-iphone-pro-max,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-jbl,200,2026-06-03,,,yes,yes,PASS
/บริการ/รับซื้อ-lenovo-ideapad,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-lenovo-legion,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-lenovo-loq,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-lenovo-thinkpad,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-mac-mini,200,2026-06-03,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook,200,2026-07-26,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-จอแตก,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-เสีย,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-air,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-intel,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-m1,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-m2,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-m3-m4,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-macbook-pro,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-magic-keyboard-ipad,200,2026-06-14,,,yes,yes,PASS
/บริการ/รับซื้อ-marshall,200,2026-06-03,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-cyborg,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-katana,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-notebook,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-pulse-crosshair,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-raider,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-stealth,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-sword,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-thin,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-titan,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-msi-vector,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-nas,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-nintendo-switch,200,2026-06-03,,,yes,yes,PASS
/บริการ/รับซื้อ-notebook-acer,200,2026-06-13,,,yes,yes,PASS
/บริการ/รับซื้อ-notebook-asus,200,2026-06-13,,,yes,yes,PASS
/บริการ/รับซื้อ-notebook-dell,200,2026-06-13,,,yes,yes,PASS
/บริการ/รับซื้อ-notebook-hp,200,2026-06-13,,,yes,yes,PASS
/บริการ/รับซื้อ-notebook-lenovo,200,2026-06-13,,,yes,yes,PASS
/บริการ/รับซื้อ-pc-มือสอง,200,2026-06-24,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://amphon.co.th/บริการ/รับซื้อ-pc-มือสอง,yes,yes,PASS
/บริการ/รับซื้อ-playstation,200,2026-06-03,,,yes,yes,PASS
/บริการ/รับซื้อ-printer,200,2026-06-23,,,yes,yes,PASS
/บริการ/รับซื้อ-ram-ssd,200,2026-06-14,,,yes,yes,PASS
