url,issue,detail,schema_types,result
/404,OK,BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/about,OK,AboutPage|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebSite,AboutPage|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebSite,PASS
/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/blog/apple-watch-ก่อนขาย-ต้องล้างข้อมูลอะไรบ้าง,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/blog/imac-mac-mini-มือสอง-ขายอย่างไรให้ประเมินง่าย,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/blog,OK,BreadcrumbList|CollectionPage|ContactPoint|Country|GeoCoordinates|ImageObject|ItemList|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebSite,BreadcrumbList|CollectionPage|ContactPoint|Country|GeoCoordinates|ImageObject|ItemList|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebSite,PASS
/blog/ipad-จอแตก-เครื่องงอ-แบตเสื่อม-ขายได้ไหม,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/blog/ipad-ติด-icloud-ขายได้ไหม,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
/blog/iphone-แบตเสื่อม-face-id-เสีย-จอแตก-ขายได้ไหม,OK,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,BlogPosting|BreadcrumbList|ContactPoint|Country|GeoCoordinates|ImageObject|ListItem|LocalBusiness|OpeningHoursSpecification|Organization|PostalAddress|ProfessionalService|WebPage|WebSite,PASS
