rule_index,source,destination_before,destination_after,logical_before,logical_after,contains_raw_unicode_before,contains_raw_unicode_after,double_encoded,status_code_before,status_code_after,rule_order_before,rule_order_after,query_preserved,result
0,/บริการ/รับซื้อ-gopro,/บริการ/รับซื้อ-gopro-action-camera,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,yes,no,no,308,308,0,0,yes,PASS
1,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro,/บริการ/รับซื้อ-gopro-action-camera,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,yes,no,no,308,308,1,1,yes,PASS
2,/blog/how-to-reset-playstation,/blog,/blog,/blog,/blog,no,no,no,308,308,2,2,yes,PASS
3,/blog/check-nintendo-joycon,/blog,/blog,/blog,/blog,no,no,no,308,308,3,3,yes,PASS
4,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด/,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%82%E0%B8%99%E0%B9%8A%E0%B8%95%E0%B8%9A%E0%B8%B8%E0%B9%8A%E0%B8%84%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%95%E0%B8%B4%E0%B8%94,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,/บริการ/รับซื้อโน๊ตบุ๊คเปิดไม่ติด,yes,no,no,308,308,4,4,yes,PASS
5,/บริการ/รับซื้อเลนส์,/บริการ/รับซื้อเลนส์กล้อง,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,yes,no,no,308,308,5,5,yes,PASS
6,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,yes,no,no,308,308,6,6,yes,PASS
7,/บริการ/รับซื้อ-hdd,/บริการ/รับซื้อ-ssd,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ssd,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,yes,no,no,308,308,7,7,yes,PASS
8,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd,/บริการ/รับซื้อ-ssd,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ssd,/บริการ/รับซื้อ-ssd,/บริการ/รับซื้อ-ssd,yes,no,no,308,308,8,8,yes,PASS
9,/บริการ/รับซื้อ-storage-nas,/บริการ/รับซื้อ-nas,/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-nas,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,yes,no,no,308,308,9,9,yes,PASS
