url,source_file,route_type,route_defined,generated_locally,generated_path,redirect_rule_exists,redirect_target,noindex_policy,sitemap_policy,retired_intentionally,evidence,result
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-สกลนคร,src/content/serviceAreas/รับซื้อ-hdd-สกลนคร.md,hdd-province,content_exists,no,,yes,/รับซื้อ/รับซื้อ-ssd-สกลนคร,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /รับซื้อ/รับซื้อ-ssd-สกลนคร,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-นครพนม,src/content/serviceAreas/รับซื้อ-hdd-นครพนม.md,hdd-province,content_exists,no,,yes,/รับซื้อ/รับซื้อ-ssd-นครพนม,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /รับซื้อ/รับซื้อ-ssd-นครพนม,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-เลย,src/content/serviceAreas/รับซื้อ-gopro-เลย.md,gopro-province,content_exists,no,,yes,/บริการ/รับซื้อ-gopro-action-camera,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อ-gopro-action-camera,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-อุดรธานี,src/content/serviceAreas/รับซื้อเลนส์-อุดรธานี.md,lens-province,content_exists,no,,yes,/บริการ/รับซื้อเลนส์กล้อง,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อเลนส์กล้อง,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-นครพนม,src/content/serviceAreas/รับซื้อเลนส์-นครพนม.md,lens-province,content_exists,no,,yes,/บริการ/รับซื้อเลนส์กล้อง,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อเลนส์กล้อง,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-อุดรธานี,src/content/serviceAreas/รับซื้อ-gopro-อุดรธานี.md,gopro-province,content_exists,no,,yes,/บริการ/รับซื้อ-gopro-action-camera,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อ-gopro-action-camera,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-หนองบัวลำภู,src/content/serviceAreas/รับซื้อ-hdd-หนองบัวลำภู.md,hdd-province,content_exists,no,,yes,/รับซื้อ/รับซื้อ-ssd-หนองบัวลำภู,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /รับซื้อ/รับซื้อ-ssd-หนองบัวลำภู,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,src/content/serviceAreas/รับซื้อ-gopro-บึงกาฬ.md,gopro-province,content_exists,no,,yes,/บริการ/รับซื้อ-gopro-action-camera,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อ-gopro-action-camera,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,src/content/serviceAreas/รับซื้อเลนส์-ชัยภูมิ.md,lens-province,content_exists,no,,yes,/บริการ/รับซื้อเลนส์กล้อง,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อเลนส์กล้อง,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-หนองคาย,src/content/serviceAreas/รับซื้อเลนส์-หนองคาย.md,lens-province,content_exists,no,,yes,/บริการ/รับซื้อเลนส์กล้อง,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อเลนส์กล้อง,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-อุบลราชธานี,src/content/serviceAreas/รับซื้อ-hdd-อุบลราชธานี.md,hdd-province,content_exists,no,,yes,/รับซื้อ/รับซื้อ-ssd-อุบลราชธานี,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /รับซื้อ/รับซื้อ-ssd-อุบลราชธานี,REDIRECT_RULE
https://amphon.co.th/บริการ/รับซื้อสินค้าไอที,src/content/services/รับซื้อสินค้าไอที.md,core-service,content_exists,no,,yes,/รับซื้อสินค้าไอที,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /รับซื้อสินค้าไอที,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-บึงกาฬ,src/content/serviceAreas/รับซื้อ-hdd-บึงกาฬ.md,hdd-province,content_exists,no,,yes,/รับซื้อ/รับซื้อ-ssd-บึงกาฬ,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /รับซื้อ/รับซื้อ-ssd-บึงกาฬ,REDIRECT_RULE
https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ร้อยเอ็ด,src/content/serviceAreas/รับซื้อเลนส์-ร้อยเอ็ด.md,lens-province,content_exists,no,,yes,/บริการ/รับซื้อเลนส์กล้อง,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อเลนส์กล้อง,REDIRECT_RULE
https://amphon.co.th/blog/how-to-reset-playstation,none,blog,no_content_file,no,,yes,/blog,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /blog,REDIRECT_RULE
https://amphon.co.th/blog/check-nintendo-joycon,none,blog,no_content_file,no,,yes,/blog,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /blog,REDIRECT_RULE
https://amphon.co.th/บริการ/รับซื้อ-storage-nas,none,legacy-hub,no_content_file,yes,dist/client/บริการ/รับซื้อ-storage-nas/index.html,yes,/บริการ/รับซื้อ-nas,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อ-nas,REDIRECT_RULE
https://amphon.co.th/บริการ/รับซื้อ-gopro,none,legacy-hub,no_content_file,no,,yes,/บริการ/รับซื้อ-gopro-action-camera,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อ-gopro-action-camera,REDIRECT_RULE
https://amphon.co.th/บริการ/รับซื้อเลนส์,none,legacy-hub,no_content_file,yes,dist/client/บริการ/รับซื้อเลนส์/index.html,yes,/บริการ/รับซื้อเลนส์กล้อง,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อเลนส์กล้อง,REDIRECT_RULE
https://amphon.co.th/บริการ/รับซื้อ-hdd,none,legacy-hub,no_content_file,no,,yes,/บริการ/รับซื้อ-ssd,legacy filtered via seo-policy LEGACY_SERVICE_MERGES when applicable,excluded when not generated,yes,vercel.json permanent -> /บริการ/รับซื้อ-ssd,REDIRECT_RULE
