id,url_unicode,path_unicode,url_percent_encoded,category,product,province,gsc_reported_404,source_screenshot_group,included
1,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-สกลนคร,/รับซื้อ/รับซื้อ-hdd-สกลนคร,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%AA%E0%B8%81%E0%B8%A5%E0%B8%99%E0%B8%84%E0%B8%A3,hdd-province,hdd,สกลนคร,yes,gsc-404,yes
2,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-นครพนม,/รับซื้อ/รับซื้อ-hdd-นครพนม,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,hdd-province,hdd,นครพนม,yes,gsc-404,yes
3,https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-เลย,/รับซื้อ/รับซื้อ-gopro-เลย,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B9%80%E0%B8%A5%E0%B8%A2,gopro-province,gopro,เลย,yes,gsc-404,yes
4,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-อุดรธานี,/รับซื้อ/รับซื้อเลนส์-อุดรธานี,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A3%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,lens-province,เลนส์,อุดรธานี,yes,gsc-404,yes
5,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-นครพนม,/รับซื้อ/รับซื้อเลนส์-นครพนม,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,lens-province,เลนส์,นครพนม,yes,gsc-404,yes
6,https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-อุดรธานี,/รับซื้อ/รับซื้อ-gopro-อุดรธานี,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A3%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,gopro-province,gopro,อุดรธานี,yes,gsc-404,yes
7,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-หนองบัวลำภู,/รับซื้อ/รับซื้อ-hdd-หนองบัวลำภู,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%A5%E0%B8%B3%E0%B8%A0%E0%B8%B9,hdd-province,hdd,หนองบัวลำภู,yes,gsc-404,yes
8,https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,gopro-province,gopro,บึงกาฬ,yes,gsc-404,yes
9,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4,lens-province,เลนส์,ชัยภูมิ,yes,gsc-404,yes
10,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-หนองคาย,/รับซื้อ/รับซื้อเลนส์-หนองคาย,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B8%B2%E0%B8%A2,lens-province,เลนส์,หนองคาย,yes,gsc-404,yes
11,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-อุบลราชธานี,/รับซื้อ/รับซื้อ-hdd-อุบลราชธานี,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,hdd-province,hdd,อุบลราชธานี,yes,gsc-404,yes
12,https://amphon.co.th/บริการ/รับซื้อสินค้าไอที,/บริการ/รับซื้อสินค้าไอที,https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%97%E0%B8%B5,core-service,สินค้าไอที,,yes,gsc-404,yes
13,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-บึงกาฬ,/รับซื้อ/รับซื้อ-hdd-บึงกาฬ,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,hdd-province,hdd,บึงกาฬ,yes,gsc-404,yes
14,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ร้อยเอ็ด,/รับซื้อ/รับซื้อเลนส์-ร้อยเอ็ด,https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94,lens-province,เลนส์,ร้อยเอ็ด,yes,gsc-404,yes
15,https://amphon.co.th/blog/how-to-reset-playstation,/blog/how-to-reset-playstation,https://amphon.co.th/blog/how-to-reset-playstation,blog,blog,,yes,gsc-404,yes
16,https://amphon.co.th/blog/check-nintendo-joycon,/blog/check-nintendo-joycon,https://amphon.co.th/blog/check-nintendo-joycon,blog,blog,,yes,gsc-404,yes
17,https://amphon.co.th/บริการ/รับซื้อ-storage-nas,/บริการ/รับซื้อ-storage-nas,https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas,legacy-hub,storage-nas,,yes,gsc-404,yes
